total_rows,bytes,repetition,latency_ms,effective_gbps
64,786432,0,0.016224000602960587,48.473370979565324
64,786432,1,0.014527999795973301,54.13215935052352
64,786432,2,0.013407999649643898,58.65393948014361
64,786432,3,0.012608000077307224,62.375634135304004
64,786432,4,0.012543999589979649,62.69387960026838
64,786432,5,0.012959999963641167,60.681481651721285
64,786432,6,0.012512000277638435,62.85421855412829
64,786432,7,0.012032000347971916,65.36170023736402
64,786432,8,0.01235199999064207,63.668393830618875
64,786432,9,0.012032000347971916,65.36170023736402
64,786432,10,0.011648000217974186,67.51648225301766
64,786432,11,0.014208000153303146,55.35135075411485
64,786432,12,0.01228800043463707,63.99999773626534
64,786432,13,0.014751999638974667,53.310196532424854
64,786432,14,0.012000000104308128,65.53599943033855
64,786432,15,0.012032000347971916,65.36170023736402
64,786432,16,0.012000000104308128,65.53599943033855
64,786432,17,0.012000000104308128,65.53599943033855
64,786432,18,0.011711999773979187,67.14754227943494
64,786432,19,0.01196799986064434,65.7112307116671
64,786432,20,0.011872000060975552,66.24258726085088
64,786432,21,0.013088000006973743,60.08801952788521
64,786432,22,0.012896000407636166,60.98262834532221
64,786432,23,0.013728000223636627,57.28671235348141
64,786432,24,0.015807999297976494,49.748990063572904
64,786432,25,0.012799999676644802,61.44000155210499
64,786432,26,0.011776000261306763,66.78260721376131
64,786432,27,0.012384000234305859,63.50387476749597
64,786432,28,0.01196799986064434,65.7112307116671
64,786432,29,0.011807999573647976,66.60162842104836
64,786432,30,0.012160000391304493,64.67368212935013
64,786432,31,0.011935999616980553,65.88740157809619
64,786432,32,0.01152000017464161,68.26666563175344
64,786432,33,0.013311999849975109,59.07692374271402
64,786432,34,0.013120000250637531,59.941462269544196
64,786432,35,0.013151999562978745,59.79562242487515
64,786432,36,0.01833599992096424,42.89005254089484
64,786432,37,0.02160000056028366,36.40888794447662
64,786432,38,0.014047999866306782,55.98177729814806
64,786432,39,0.013567999936640263,57.96226442161511
128,1572864,0,0.013567999936640263,115.92452884323022
128,1572864,1,0.013120000250637531,119.88292453908839
