ep,m,repeats,router_p50_ms,router_p90_ms,prepare_p50_ms,prepare_p90_ms,dispatch_p50_ms,dispatch_p90_ms,expert_p50_ms,expert_p90_ms,combine_p50_ms,combine_p90_ms,moe_p50_ms,moe_p90_ms,max_over_mean_rank_load_p50
1,1,30,0.29049600660800934,0.3127103954553604,0.28388799726963043,0.3120160043239593,0.010463999584317207,0.011103999800980091,0.3946080058813095,0.41905598938465116,0.1271200031042099,0.14190399646759036,1.1784160137176514,1.2464319944381712,1.0
1,2,30,0.2879839986562729,0.3071200102567673,0.2880159914493561,0.30527679026126864,0.010704000014811754,0.011030399799346925,0.39659199118614197,0.41447679102420804,0.12516800314188004,0.13657919615507125,1.1717280149459839,1.2140799760818481,1.0
1,4,30,0.28491200506687164,0.3070240050554276,0.2973119914531708,0.3143232107162476,0.01056000031530857,0.01110719982534647,0.3912319988012314,0.41113599240779874,0.12412799894809723,0.1357631951570511,1.177519977092743,1.2129919528961182,1.0
1,8,30,0.2871680110692978,0.30387520194053647,0.2972320020198822,0.31191999912261964,0.010735999792814255,0.011536000203341246,0.42049600183963776,0.43447041213512416,0.10113600268959999,0.12173120155930518,1.1781760454177856,1.199513578414917,1.0
1,16,30,0.28463999927043915,0.30656639635562893,0.29632000625133514,0.3130912005901337,0.010591999627649784,0.010895999986678362,0.5237279832363129,0.536979204416275,0.07393600046634674,0.08053760156035424,1.2488320469856262,1.2775424122810364,1.0
1,32,30,0.2853280007839203,0.30468798875808717,0.3059839904308319,0.3241023957729339,0.010607999749481678,0.010847999714314938,0.6584959924221039,0.6797760188579559,0.08111999928951263,0.09416320100426674,1.4035040140151978,1.42498562335968,1.0
1,64,30,0.28622400760650635,0.3077983886003494,0.31144000589847565,0.32630720138549807,0.010960000101476908,0.011331199668347836,0.7256159782409668,0.7486527979373931,0.08257599920034409,0.09125759974122047,1.4733759760856628,1.5039680361747743,1.0
1,128,30,0.2885120064020157,0.3046976089477539,0.30480000376701355,0.3294400036334991,0.010639999993145466,0.011369599867612124,0.7578240036964417,0.7723711967468262,0.09231999889016151,0.10071679949760437,1.5192639827728271,1.5387423872947692,1.0
1,256,30,0.2903359979391098,0.30892479717731475,0.3120959997177124,0.33091198801994326,0.010944000445306301,0.01131840031594038,0.812608003616333,0.8343487977981567,0.11580799892544746,0.12288319692015648,1.5914719700813293,1.62860164642334,1.0
2,1,30,0.311039999127388,0.33488001227378844,0.7200800180435181,0.7634848058223724,0.15054399520158768,0.17299839556217195,0.42816001176834106,0.4482751965522766,0.2571360021829605,0.2891424119472504,1.6044639945030212,1.6968736529350281,1.0
