B_s,B_e,seed,cost,max_rank_load,mean_rank_load,cv_mean,critical_rank_mode,critical_set_3pct_mean,critical_set_5pct_mean,critical_set_10pct_mean,window_id,layer,group_count,method
8,4,-1,6621,6621,6116.0,0.08856427320063998,0,1.0,2.0,2.5,1,5,2,fifo
8,4,-1,7439,7439,6116.0,0.1649513073888209,0,1.0,1.0,1.0,1,6,2,fifo
8,4,-1,7402,7402,6116.0,0.13488941483657296,3,1.0,1.0,1.0,1,7,2,fifo
8,4,-1,6734,6734,6116.0,0.07427446327185824,0,1.0,2.0,3.0,1,8,2,fifo
8,4,-1,7817,7817,6116.0,0.17835806049940478,0,1.0,1.0,1.0,1,9,2,fifo
8,4,-1,6778,6778,6116.0,0.08331858646992961,0,1.0,1.5,2.0,1,10,2,fifo
8,4,-1,7247,7247,6116.0,0.12385741134888292,1,1.0,1.0,1.5,1,11,2,fifo
8,4,-1,6864,6864,6116.0,0.09799972279927693,1,2.0,2.0,2.5,1,12,2,fifo
8,4,-1,6721,6721,6116.0,0.10762316716717926,0,1.0,1.5,3.0,1,13,2,fifo
8,4,-1,6743,6743,6116.0,0.09055291733588969,0,1.5,2.0,2.0,1,14,2,fifo
8,4,-1,7416,7416,6116.0,0.16307847938039768,1,1.0,1.0,1.5,1,15,2,fifo
8,4,-1,7150,7150,6116.0,0.10679572077660544,2,1.0,1.0,1.5,1,16,2,fifo
8,4,-1,6899,6899,6116.0,0.09215063186133786,1,1.0,1.0,1.5,1,17,2,fifo
8,4,-1,6487,6487,6116.0,0.0506237851500294,0,1.5,2.5,3.5,1,18,2,fifo
8,4,-1,6970,6970,6116.0,0.11757038537091408,3,1.0,1.0,2.0,1,19,2,fifo
8,4,-1,7053,7053,6116.0,0.1334262061744342,0,2.0,2.0,2.0,1,20,2,fifo
8,4,-1,7746,7746,6116.0,0.16699820370983992,0,1.0,1.0,1.0,1,21,2,fifo
8,4,-1,6782,6782,6116.0,0.09533197701269294,3,1.5,1.5,2.0,1,22,2,fifo
8,4,-1,6723,6723,6116.0,0.10943707256673946,1,1.5,1.5,2.5,1,23,2,fifo
8,4,-1,6598,6598,6116.0,0.07311702405806915,3,1.5,2.0,2.5,1,24,2,fifo
8,4,-1,7382,7382,6116.0,0.14039352828037094,3,1.0,1.0,1.0,1,25,2,fifo
8,4,-1,6809,6809,6116.0,0.08747497794570383,0,1.0,1.5,1.5,1,26,2,fifo
8,4,-1,7149,7149,6116.0,0.16332258225185162,1,1.5,2.0,2.0,1,27,2,fifo
8,4,-1,6595,6595,6116.0,0.0702558886003107,1,1.5,1.5,2.5,1,28,2,fifo
8,4,-1,7340,7340,6116.0,0.15321696385025538,2,1.0,1.0,1.5,1,29,2,fifo
8,4,-1,6594,6594,6116.0,0.06154586714106373,0,1.5,2.5,2.5,1,30,2,fifo
8,4,-1,6701,6701,6116.0,0.07360422887054588,0,1.0,1.5,2.0,1,31,2,fifo
8,4,-1,7534,7534,6116.0,0.14847954632302288,0,1.0,1.0,1.0,1,32,2,fifo
8,4,-1,7106,7106,6116.0,0.10209379454230162,0,1.0,1.0,2.0,1,33,2,fifo
