B_s,B_e,window_count,covered_requests,random_trials,random_seed_base,random_median_cost,random_p5_cost,random_best_cost,fifo_cost,oracle_l_cost,oracle_f_cost,oracle_l_speedup,oracle_f_speedup,random_median_speedup,random_p5_speedup,random_best_speedup
8,4,3,24,1000,20260827,1788567.5,1782486.85,1779814.0,1783896.0,1775318.0,1783443.0,1.0048318104136835,1.0002540030715867,0.997388133240708,1.000790552816701,1.0022934980846314
12,4,2,24,1000,20360827,1785681.5,1772698.45,1767739.0,1783896.0,1761125.0,1783448.0,1.0129298033927177,1.0002511988014229,0.9990001016418661,1.006316669369232,1.009139923936735
12,6,2,24,1000,20460827,1770042.5,1765284.8,1763667.0,1791906.0,1760710.0,1792429.0,1.0177178524572474,0.9997082171734557,1.0123519633003162,1.0150803994913455,1.0160115259853475
16,8,1,16,1000,20560827,500259.5,498330.9,497578.0,499019.0,496851.0,500343.0,1.0043634812046267,0.997353815282716,0.997520286971062,1.001380809417999,1.0028960283613826
24,8,1,24,1000,20660827,1759979.0,1743968.25,1739592.0,1774852.0,1734753.0,1775122.0,1.0231151063004358,0.9998478977782935,1.0084506690136643,1.0177088946430075,1.0202691205753993
24,12,1,24,1000,20760827,1745460.0,1739440.15,1737659.0,1760710.0,1734753.0,1762386.0,1.0149629370867208,0.9990490165037625,1.0087369518636922,1.012227986113808,1.0132655486490734
