record_type,pair_id,request_id,category,token_bucket,modality,layer,vision_fraction,V_critical_rank,T_critical_rank,R_critical_rank,V_equals_R,T_equals_R,R_total,V_total,T_total,B_s,B_e,window_id,optimizer,group_cost,source_assignments,rank_load_mean,rank_load_cv_mean,critical_rank,grouping_source
request_layer,0,coins,natural,small,vision,0,0.84375,3.0,2.0,3.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,1,0.84375,3.0,2.0,3.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,2,0.84375,0.0,1.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,3,0.84375,2.0,3.0,2.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,4,0.84375,0.0,3.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,5,0.84375,1.0,0.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,6,0.84375,0.0,2.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,7,0.84375,3.0,3.0,3.0,True,True,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,8,0.84375,1.0,1.0,1.0,True,True,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,9,0.84375,2.0,2.0,2.0,True,True,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,10,0.84375,0.0,2.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,11,0.84375,2.0,0.0,2.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,12,0.84375,1.0,3.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,13,0.84375,1.0,0.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,14,0.84375,1.0,0.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,15,0.84375,1.0,1.0,1.0,True,True,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,16,0.84375,0.0,2.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,17,0.84375,1.0,2.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,18,0.84375,3.0,2.0,3.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,19,0.84375,3.0,3.0,3.0,True,True,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,20,0.84375,0.0,1.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,21,0.84375,2.0,3.0,2.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,22,0.84375,0.0,2.0,0.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
request_layer,0,coins,natural,small,vision,23,0.84375,1.0,0.0,1.0,True,False,1024.0,864.0,160.0,,,,,,,,,,
