request_id,condition,image_count,diversity,prompt_tokens,vision_tokens,category,prefill_wall_ms,expert_ms,dispatch_ms,combine_ms,effective_experts,active_experts,expert_hhi,rank_imbalance
diverse2_small,diverse_multi_image,2,diverse,256,234,multi_image,125.41064750000001,0.42497600615024567,0.36616000533103943,0.11908800154924393,84.80118059778306,122.0,0.014947550477735714,1.176356589147287
diverse4_small,diverse_multi_image,4,diverse,772,746,multi_image,2972.668715,0.4696799963712692,0.4145760089159012,0.10526399686932564,90.70665291814082,127.0,0.013662263844654101,1.142764857881137
diverse8_small,diverse_multi_image,8,diverse,1672,1638,multi_image,225.879872,0.5226079821586609,0.44947201013565063,0.13185599446296692,96.42022992162754,128.0,0.012872873246603831,1.1356033452807646
repeat2_coins,repeated_multi_image,2,repeated,238,216,natural,2842.5956015,0.4225600063800812,0.42395199835300446,0.11884799972176552,67.76876497590462,113.0,0.020697428385416668,1.2322916666666668
repeat4_coins,repeated_multi_image,4,repeated,458,432,natural,133.724314,0.4388960003852844,0.36294400691986084,0.1244800016283989,66.73967618044627,117.0,0.020135500354442344,1.2130434782608694
repeat8_coins,repeated_multi_image,8,repeated,898,864,natural,3036.1385015,0.4666240066289902,0.42638400197029114,0.11011200025677681,65.5808893687034,119.0,0.02103533950617284,1.218888888888889
single_coins,single_image,1,single,123,108,natural,2930.4465705000002,0.41894400119781494,0.4424160122871399,0.11265600100159645,64.96988733273224,105.0,0.021374637818090198,1.2321428571428572
single_grass,single_image,1,single,271,256,fine_grained,131.8418345,0.429407998919487,0.3814080059528351,0.12384000048041344,84.72891551592225,122.0,0.015063901912728436,1.1669708029197081
text_control_large,text_only,0,none,1589,0,text_only,2890.3147365,0.5227200090885162,0.4145440012216568,0.12902399897575378,52.959926221300066,120.0,0.029596617864763516,1.3024497487437185
text_control_medium,text_only,0,none,277,0,text_only,118.4574815,0.433104008436203,0.5086719989776611,0.13337599486112595,54.99902485785223,105.0,0.028484534438775508,1.2589285714285714
text_control_small,text_only,0,none,128,0,text_only,2894.2392065,0.5631999969482422,1.314784049987793,0.4041920006275177,55.85020861602541,95.0,0.024644045857988166,1.275
