condition,layer_band,invocations,expert_ms,dispatch_ms,combine_ms,active_experts,effective_experts,expert_hhi,rank_imbalance
diverse_multi_image,early,96,0.47545599937438965,0.4236319959163666,0.12081599980592728,127.0,88.3068575485674,0.014757179180938646,1.1534585035147678
diverse_multi_image,middle,96,0.48043200373649597,0.39900800585746765,0.11767999827861786,127.0,92.52507441823053,0.013800314985077018,1.1662186379928317
diverse_multi_image,late,96,0.4705280065536499,0.4100639969110489,0.11846400052309036,123.0,91.41182162928904,0.013116314037552968,1.1411498708010335
repeated_multi_image,early,96,0.45078399777412415,0.4302240014076233,0.118112001568079,111.0,54.32120873390705,0.026844249355294173,1.273125
repeated_multi_image,middle,96,0.4434400051832199,0.40937601029872894,0.11270400136709213,118.5,69.08456854903797,0.02002961070415879,1.2216666666666667
repeated_multi_image,late,96,0.454927995800972,0.4105120003223419,0.12240000069141388,120.0,77.87679036843551,0.017297762345679014,1.170108695652174
single_image,early,64,0.4277440011501312,0.448512002825737,0.1284639984369278,115.0,68.09515202735494,0.02124014332143428,1.2461910554976248
single_image,middle,64,0.4215040057897568,0.4012479931116104,0.11132800206542015,115.5,74.78640409312874,0.01779907564877803,1.213300892133009
single_image,late,64,0.41916799545288086,0.41942399740219116,0.12148800119757652,114.5,84.49356655106155,0.014812281887687144,1.1636253041362532
text_only,early,96,0.5065760016441345,0.4643840044736862,0.1318719983100891,108.0,59.666744863155024,0.02459134615384615,1.2587528991109393
text_only,middle,96,0.5124959945678711,0.43479999899864197,0.13976000249385834,101.5,51.0264503932076,0.02888994290393672,1.3002333094041636
text_only,late,96,0.5146880149841309,0.47017599642276764,0.14243199676275253,105.0,56.66568346338735,0.026581435713153606,1.3110866834170856
