request_id,pair_id,category,modality,layer,sample_tokens,total_assignments,active_experts,effective_experts,expert_entropy,expert_hhi,top4_share,top8_share,max_expert_load,median_active_load,p10_active_load,tiny_le_1,tiny_le_2,tiny_le_4,max_rank_load,mean_rank_load,rank_imbalance,rank_cv,active_ep_ranks
coins,0,natural,vision,0,64,512.0,78,50.12762772428878,5.64753405549103,0.0269012451171875,0.21875,0.357421875,33.0,4.0,1.0,0.23076923076923078,0.3333333333333333,0.5769230769230769,152.0,128.0,1.1875,0.14352478961620185,4
coins,0,natural,vision,1,64,512.0,85,54.982795540989166,5.780908355877739,0.0243072509765625,0.18359375,0.3203125,33.0,3.0,1.0,0.2,0.38823529411764707,0.6,161.0,128.0,1.2578125,0.17196375549261828,4
coins,0,natural,vision,2,64,512.0,75,47.375179229213906,5.566059496168115,0.029754638671875,0.228515625,0.3671875,47.0,4.0,1.0,0.13333333333333333,0.4,0.5333333333333333,184.0,128.0,1.4375,0.25441655449896533,4
coins,0,natural,vision,3,64,512.0,74,41.45549677807282,5.373491502970121,0.03447723388671875,0.26171875,0.4375,41.0,3.5,1.0,0.28378378378378377,0.43243243243243246,0.5675675675675675,174.0,128.0,1.359375,0.21958545816492495,4
coins,0,natural,vision,4,64,512.0,69,42.15360511515141,5.397584115362848,0.03211212158203125,0.234375,0.41796875,35.0,5.0,1.0,0.21739130434782608,0.34782608695652173,0.4927536231884058,175.0,128.0,1.3671875,0.24287955557359084,4
coins,0,natural,vision,5,64,512.0,76,45.07917559241305,5.494389226643883,0.0313720703125,0.240234375,0.396484375,44.0,3.5,1.0,0.2631578947368421,0.3684210526315789,0.5789473684210527,171.0,128.0,1.3359375,0.204472692629725,4
coins,0,natural,vision,6,64,512.0,67,36.919028496502136,5.206292684660883,0.03902435302734375,0.287109375,0.484375,44.0,3.0,1.0,0.22388059701492538,0.417910447761194,0.582089552238806,153.0,128.0,1.1953125,0.14542586303895536,4
coins,0,natural,vision,7,64,512.0,59,31.729478218245333,4.987751891650653,0.04419708251953125,0.32421875,0.501953125,46.0,3.0,1.0,0.2542372881355932,0.3898305084745763,0.559322033898305,220.0,128.0,1.71875,0.46669471293140335,4
coins,0,natural,vision,8,64,512.0,70,40.842949738319376,5.35201515843828,0.0340118408203125,0.255859375,0.423828125,40.0,4.0,1.0,0.22857142857142856,0.4142857142857143,0.5571428571428572,159.0,128.0,1.2421875,0.14511074703911492,4
coins,0,natural,vision,9,64,512.0,71,43.052383128229025,5.428021193882739,0.03081512451171875,0.23046875,0.38671875,33.0,4.0,1.0,0.28169014084507044,0.36619718309859156,0.5633802816901409,171.0,128.0,1.3359375,0.3095071529615673,4
