comparison,median_expert_ms_difference,ci95_low,ci95_high,left_n,right_n
single_vs_text,-0.08881600201129913,-0.0977131798863411,-0.08087962940335273,192,288
repeated_vs_diverse,-0.025471985340118408,-0.048050389438867566,-0.018351187184453013,288,288
