condition,image_count,invocations
diverse_multi_image,2,96
diverse_multi_image,4,96
diverse_multi_image,8,96
repeated_multi_image,2,96
repeated_multi_image,4,96
repeated_multi_image,8,96
single_image,1,192
text_only,0,288
