image_count,requests,prompt_tokens,vision_tokens,active_experts,effective_experts,rank_imbalance
6,1,3203,3170,128.0,95.70517295641649,1.1251951295660318
8,1,6984,6947,128.0,96.33011248557324,1.1230670103092784
10,1,5234,5193,128.0,93.37537532061461,1.2233951089033244
12,1,9065,9020,128.0,102.07414126813859,1.1193050193050194
