target,feature,spearman,pvalue,n
expert_ms,total_assignments,0.44493304522884347,1.7792349227631325e-52,1056
expert_ms,active_experts,0.23857700491029035,3.922344799427945e-15,1056
expert_ms,effective_experts,0.07435138029491048,0.01566545554389525,1056
expert_ms,expert_hhi,-0.05158923115895423,0.09382011915188829,1056
expert_ms,rank_imbalance,-0.013845716376261563,0.6531278500755799,1056
dispatch_ms,total_assignments,-0.09883989185864238,0.001299954133590037,1056
dispatch_ms,active_experts,-0.15516033194437093,4.04436831215583e-07,1056
dispatch_ms,effective_experts,-0.08208734216136186,0.007610718748054187,1056
dispatch_ms,expert_hhi,0.08013305237873011,0.009184150900574492,1056
dispatch_ms,rank_imbalance,0.09757597699545428,0.0015000865977755262,1056
combine_ms,total_assignments,-0.05304554536582036,0.08489797663445595,1056
combine_ms,active_experts,-0.11663275655107733,0.00014551686117980194,1056
combine_ms,effective_experts,-0.07460709567412967,0.015310391915543283,1056
combine_ms,expert_hhi,0.07195538515928386,0.019359475453468084,1056
combine_ms,rank_imbalance,0.08680745011253747,0.0047591793685442625,1056
comm_ms,total_assignments,-0.08890888398075866,0.0038340420747718807,1056
comm_ms,active_experts,-0.14782089701752413,1.4039138448028075e-06,1056
comm_ms,effective_experts,-0.08149853952086424,0.008057254979642759,1056
comm_ms,expert_hhi,0.08088437702468747,0.008547843227007754,1056
comm_ms,rank_imbalance,0.09706731859702411,0.0015883452061357117,1056
