dp_rank,active_wave,local_invocation_id,layer,phase,M,cuda_ms,baseline_p25,baseline_p50,baseline_trimmed_mean,excess_p25,excess_p50,excess_trimmed_mean,scheduled_request_ids,event_wait_cuda_ms
0,0,3169,0,prefill,137,3.0657920837402344,2.773151993751526,3.0397119522094727,2.8706986904144287,0.2926400899887085,0.02608013153076172,0.19509339332580566,"[""2-9dfcc6be""]",0.4800960011780262
1,0,3169,0,prefill,137,2.0813119411468506,2.05841600894928,2.080735921859741,2.06604798634847,0.0228959321975708,0.000576019287109375,0.015263954798380386,"[""2-97c44e68""]",0.48003200627863407
0,0,3170,1,prefill,137,3.423424005508423,3.411520004272461,3.423424005508423,3.430901368459066,0.011904001235961914,0.0,0.0,"[""2-9dfcc6be""]",0.421183998696506
1,0,3170,1,prefill,137,2.056544065475464,2.051248073577881,2.056544065475464,2.059530735015869,0.005295991897583008,0.0,0.0,"[""2-97c44e68""]",0.4487999901175499
0,0,3171,2,prefill,137,3.3687360286712646,3.395424008369446,3.422111988067627,3.4652586778004966,0.0,0.0,0.0,"[""2-9dfcc6be""]",0.45724800508469343
1,0,3171,2,prefill,137,2.039328098297119,2.0432320833206177,2.047136068344116,2.1144320170084634,0.0,0.0,0.0,"[""2-97c44e68""]",0.46745600644499063
0,0,3172,3,prefill,137,3.3398399353027344,3.310639977455139,3.3398399353027344,3.358197291692098,0.029199957847595215,0.0,0.0,"[""2-9dfcc6be""]",0.47318398486822844
1,0,3172,3,prefill,137,2.032320022583008,2.0236159563064575,2.032320022583008,2.0356799761454263,0.008704066276550293,0.0,0.0,"[""2-97c44e68""]",0.22371200658380985
0,0,3173,4,prefill,137,3.36844801902771,3.394703984260559,3.420959949493408,3.4054933389027915,0.0,0.0,0.0,"[""2-9dfcc6be""]",0.4239999884739518
1,0,3173,4,prefill,137,1.9964159727096558,2.023696005344391,2.050976037979126,2.045728007952372,0.0,0.0,0.0,"[""2-97c44e68""]",0.1253760028630495
0,0,3174,5,prefill,137,3.3478078842163086,3.354335904121399,3.3608639240264893,3.398922602335612,0.0,0.0,0.0,"[""2-9dfcc6be""]",0.4787520058453083
