experiment,start_utc,end_utc,physical_devices,resident_experiment_seconds,unadjusted_process_gpu_hours,clock_source,kind,status
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:47.776857+00:00,2026-09-07T07:17:05.938822+00:00,3,18.161965,0.005044990277777777,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:46.786745+00:00,2026-09-07T07:17:05.938858+00:00,4,19.152113,0.005320031388888889,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.927193+00:00,2026-09-08T06:14:23.068092+00:00,4,18.140899,0.005039138611111112,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.546678+00:00,2026-09-08T06:14:23.068092+00:00,5,18.521414,0.005144837222222223,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.943878+00:00,2026-09-08T06:14:23.068221+00:00,6,18.124343,0.005034539722222222,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.982475+00:00,2026-09-08T06:14:23.068304+00:00,7,18.085829,0.005023841388888889,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_real4layer_sanity_v2,2026-09-07T07:28:22.273999+00:00,2026-09-07T07:28:33.220397+00:00,1,10.946398,0.0030406661111111112,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_real4layer_sanity_v2,2026-09-07T07:28:25.182343+00:00,2026-09-07T07:28:33.217960+00:00,2,8.035617,0.0022321158333333336,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_real4layer_sanity_v2,2026-09-07T07:28:25.160730+00:00,2026-09-07T07:28:33.218262+00:00,3,8.057532,0.0022382033333333334,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_real4layer_sanity_v2,2026-09-07T07:28:21.150983+00:00,2026-09-07T07:28:33.229789+00:00,4,12.078806,0.0033552238888888888,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_text48_m128,2026-09-08T03:00:25.312920+00:00,2026-09-08T03:00:47.749116+00:00,4,22.436196,0.0062322766666666665,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m128,2026-09-08T03:00:28.228816+00:00,2026-09-08T03:00:47.748927+00:00,5,19.520111,0.005422253055555556,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m128,2026-09-08T03:00:28.330060+00:00,2026-09-08T03:00:47.749039+00:00,6,19.418979,0.005394160833333333,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m128,2026-09-08T03:00:23.855069+00:00,2026-09-08T03:00:47.748946+00:00,7,23.893877,0.006637188055555555,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m2048_oracle,2026-09-08T03:10:15.414524+00:00,2026-09-08T03:10:52.425460+00:00,4,37.010936,0.010280815555555555,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m2048_oracle,2026-09-08T03:10:13.317257+00:00,2026-09-08T03:10:52.425283+00:00,5,39.108026,0.010863340555555556,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m2048_oracle,2026-09-08T03:10:12.766016+00:00,2026-09-08T03:10:52.430031+00:00,6,39.664015,0.011017781944444444,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m2048_oracle,2026-09-08T03:10:15.410731+00:00,2026-09-08T03:10:52.425221+00:00,7,37.01449,0.010281802777777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m8192_frozen_20260908,2026-09-08T06:12:23.674961+00:00,2026-09-08T06:13:34.186018+00:00,4,70.511057,0.01958640472222222,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_text48_m8192_frozen_20260908,2026-09-08T06:12:26.700141+00:00,2026-09-08T06:13:34.186310+00:00,5,67.486169,0.018746158055555556,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_text48_m8192_frozen_20260908,2026-09-08T06:12:26.477067+00:00,2026-09-08T06:13:34.186341+00:00,6,67.709274,0.018808131666666665,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_text48_m8192_frozen_20260908,2026-09-08T06:12:22.912218+00:00,2026-09-08T06:13:34.186020+00:00,7,71.273802,0.019798278333333336,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_text48_m8192_nohooks_20260908,2026-09-08T06:20:53.935205+00:00,2026-09-08T06:21:31.150915+00:00,4,37.21571,0.010337697222222223,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m8192_nohooks_20260908,2026-09-08T06:20:54.162374+00:00,2026-09-08T06:21:31.150890+00:00,5,36.988516,0.010274587777777776,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m8192_nohooks_20260908,2026-09-08T06:20:58.030279+00:00,2026-09-08T06:21:31.150935+00:00,6,33.120656,0.009200182222222221,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_text48_m8192_nohooks_20260908,2026-09-08T06:20:57.930818+00:00,2026-09-08T06:21:31.150914+00:00,7,33.220096,0.009227804444444444,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_0_frozen_control_20260908,2026-09-08T05:24:50.628813+00:00,2026-09-08T05:26:48.982748+00:00,4,118.353935,0.032876093055555555,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_0_frozen_control_20260908,2026-09-08T05:24:51.241986+00:00,2026-09-08T05:26:48.982687+00:00,5,117.740701,0.03270575027777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_0_frozen_control_20260908,2026-09-08T05:24:49.777460+00:00,2026-09-08T05:26:48.982763+00:00,6,119.205303,0.03311258416666667,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_0_frozen_control_20260908,2026-09-08T05:24:48.368645+00:00,2026-09-08T05:26:48.982857+00:00,7,120.614212,0.03350394777777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_1_frozen_control_20260908,2026-09-08T05:35:01.233632+00:00,2026-09-08T05:36:34.973649+00:00,4,93.740017,0.02603889361111111,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_1_frozen_control_20260908,2026-09-08T05:35:04.333933+00:00,2026-09-08T05:36:34.973676+00:00,5,90.639743,0.025177706388888887,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_1_frozen_control_20260908,2026-09-08T05:35:04.472846+00:00,2026-09-08T05:36:34.973725+00:00,6,90.500879,0.025139133055555554,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_1_frozen_control_20260908,2026-09-08T05:35:00.684050+00:00,2026-09-08T05:36:34.973701+00:00,7,94.289651,0.026191569722222224,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_2_frozen_control_20260908,2026-09-08T05:36:57.605755+00:00,2026-09-08T05:38:25.247761+00:00,4,87.642006,0.024345001666666664,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_2_frozen_control_20260908,2026-09-08T05:36:56.418742+00:00,2026-09-08T05:38:25.247765+00:00,5,88.829023,0.024674728611111113,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_2_frozen_control_20260908,2026-09-08T05:36:56.513020+00:00,2026-09-08T05:38:25.247757+00:00,6,88.734737,0.024648538055555554,recorded_UTC,native_supplement_prefill,COMPLETE
