phase,stage,logical_layer_invocations,median_critical_ms,p95_critical_ms,sum_critical_ms,share_of_observed_block_sum
all,prepare_attn,3008,0.19273599982261658,0.2321807973086834,590.1642883569002,0.08219923985282167
all,attention,3008,0.6196639835834503,0.7181280165910721,1964.1582072377205,0.273571808343618
all,prepare_mlp,3008,0.2454719990491867,0.37595520168542873,803.1085758060217,0.11185853795784888
all,mlp,3008,1.2754720449447632,1.4321232318878174,3809.5964803397655,0.530608071358834
all,postprocess,3008,0.003008000086992979,0.012020800262689594,12.653056177543476,0.0017623424868773877
all,block_critical_sum_ms,3008,2.3530079460470006,2.677537594956812,7179.680607917951,1.0
early,prepare_attn,576,0.1918719932436943,0.23292000219225883,112.2809282541275,0.07977889807126311
early,attention,576,0.621535986661911,1.7657519578933716,429.81017476320267,0.30539275597024484
early,prepare_mlp,576,0.2473120018839836,0.41914400458335876,154.36838373541832,0.10968327162009235
early,mlp,576,1.2472000122070312,1.3702880442142487,708.073951780796,0.5031073442693953
early,postprocess,576,0.003008000086992979,0.012423999607563019,2.867904034908861,0.0020377300690043723
early,block_critical_sum_ms,576,2.327088051009923,3.5761600131518207,1407.4013425684534,1.0
middle,prepare_attn,1248,0.19273599982261658,0.23401119634509082,245.55584010481834,0.08271744738509229
middle,attention,1248,0.6194719970226288,0.7085216134786605,790.7490227818489,0.26637012851679787
middle,prepare_mlp,1248,0.24571199715137482,0.3803663954138755,340.42886382341385,0.11467618371308055
middle,mlp,1248,1.2742079496383667,1.4323104381561278,1586.5147845745087,0.5344301856665061
middle,postprocess,1248,0.003008000086992979,0.012084799818694586,5.361472067888826,0.0018060547185232013
middle,block_critical_sum_ms,1248,2.354447938501835,2.626436809811275,2968.6099833524786,1.0
late,prepare_attn,1184,0.19331200420856476,0.2300447955727575,232.32751999795437,0.08286552251001242
late,attention,1184,0.6192319989204407,0.6946528166532515,743.5990096926689,0.26522351065708166
late,prepare_mlp,1184,0.24436800181865692,0.3414144068956373,308.3113282471895,0.10996708143393544
late,mlp,1184,1.2914400100708008,1.44313605427742,1515.0077439844608,0.5403660673220841
late,postprocess,1184,0.002976000076159835,0.010587199730798599,4.423680074745789,0.0015778180768863208
late,block_critical_sum_ms,1184,2.3630559478187934,2.5948736223974262,2803.6692819970194,1.0
