request_id,layer,iteration,q_len,batch,physical_rows,live_positions,live_ratio,phase,prepare_attn_critical_ms,attention_critical_ms,prepare_mlp_critical_ms,mlp_critical_ms,postprocess_critical_ms,block_critical_sum_ms
measured_0,0,0,32,8,256,107,0.41796875,middle,0.12726399302482605,0.6342399716377258,0.37225601077079773,0.2919040024280548,0.011264000087976456,1.4369279779493809
measured_0,0,1,32,8,256,88,0.34375,middle,0.12095999717712402,0.6185920238494873,0.2794240117073059,0.2696639895439148,0.010111999697983265,1.2987520219758153
measured_0,0,2,32,8,256,139,0.54296875,middle,0.12204799801111221,0.6241599917411804,0.3447360098361969,0.28095999360084534,0.01071999967098236,1.3826239928603172
measured_0,0,3,32,8,256,129,0.50390625,middle,0.1502079963684082,0.6429439783096313,0.24476799368858337,0.26924800872802734,0.010879999957978725,1.318047977052629
measured_0,0,4,32,8,256,97,0.37890625,middle,0.14112000167369843,0.6103360056877136,0.25724801421165466,0.30825600028038025,0.010111999697983265,1.3270720215514302
measured_0,0,5,32,8,256,120,0.46875,middle,0.1247360035777092,0.6122559905052185,0.39980798959732056,0.31593599915504456,0.011008000001311302,1.4637439828366041
measured_0,0,6,32,8,256,177,0.69140625,early,0.16342400014400482,0.6538879871368408,0.3507840037345886,0.29923200607299805,0.010143999941647053,1.4774719970300794
measured_0,0,7,32,8,256,166,0.6484375,middle,0.14176000654697418,0.6335679888725281,0.35654398798942566,0.30931198596954346,0.010912000201642513,1.4520959695801139
measured_0,0,8,32,8,256,149,0.58203125,middle,0.13167999684810638,0.5869119763374329,0.3136320114135742,0.28435200452804565,0.010463999584317207,1.3270399887114763
measured_0,0,9,32,8,256,169,0.66015625,middle,0.12294399738311768,0.6350719928741455,0.23129600286483765,0.267520010471344,0.009503999724984169,1.266336003318429
measured_0,0,10,32,8,256,160,0.625,middle,0.14115199446678162,0.6211199760437012,0.28415998816490173,0.3218879997730255,0.010080000385642052,1.378399958834052
