case_id,rank,layer,M,active_experts,expert_entropy,expert_hhi,rank_cv,fanout,max_expert_mean_ratio,condition,source_dir,phase,latency_ms
balanced_rank_A1_M128,0,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,dispatch,0.18803200777620077
balanced_rank_A1_M128,0,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,expert,0.9503359794616699
balanced_rank_A1_M128,0,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.14982390403747559
balanced_rank_A1_M128,0,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,wall,2.036799907684326
balanced_rank_A2_M128,0,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,dispatch,0.2001920035108924
balanced_rank_A2_M128,0,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,expert,0.883840024471283
balanced_rank_A2_M128,0,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.18307209014892578
balanced_rank_A2_M128,0,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,wall,2.038975954055786
balanced_rank_A4_M128,0,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,dispatch,0.16342400386929512
balanced_rank_A4_M128,0,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,expert,0.9131839871406555
balanced_rank_A4_M128,0,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.12028801441192627
