phase,rows,r2,rmse_ms,large_residual_ge10pct
combine,960,0.19654193061561276,0.13102436468320222,810
dispatch,960,0.09177795257396104,0.049769471143917374,393
expert,960,0.5292714608356222,0.106625366380422,193
wall,960,0.5291990822876462,0.29395709557086985,574
