call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
0,measured_0,135,middle,0.5030241935483871,31,493,992,7936,5857,0.7380292338709677,"[2086, 1557, 2827, 1466]",0.27279578985879754,3.166330575942993,190,12.0,0.32105263157894737,15.16147232055664,5.138879776000977,1.0763200521469116,0.28992000222206116,0.19814400374889374,0.3112959861755371
1,measured_0,136,middle,0.5695564516129032,31,427,992,7936,5799,0.7307207661290323,"[2093, 1640, 2670, 1533]",0.2260029724290395,3.1633063554763794,190,14.0,0.2789473684210526,15.230303764343262,5.121024131774902,1.0491199493408203,0.24326400458812714,0.1860159933567047,0.29609599709510803
2,measured_0,137,middle,0.6118951612903225,31,385,992,7936,5747,0.7241683467741935,"[2041, 1687, 2586, 1622]",0.192739787008035,3.154233753681183,194,14.0,0.25773195876288657,14.433343887329102,4.2927680015563965,1.0765759944915771,0.21481600403785706,0.03683200106024742,0.06428799778223038
3,measured_0,138,middle,0.6381048387096775,31,359,992,7936,5894,0.7426915322580645,"[1958, 1588, 2643, 1747]",0.20285999131908358,3.133064389228821,194,15.0,0.25257731958762886,14.590271949768066,4.422272205352783,1.0536960363388062,0.235167995095253,0.03590400144457817,0.07996799796819687
4,measured_0,139,middle,0.6189516129032258,31,378,992,7936,5934,0.7477318548387096,"[1923, 1558, 2735, 1720]",0.22805635620340353,3.123991847038269,193,15,0.23834196891191708,14.788736343383789,4.728831768035889,1.031008005142212,0.21484799683094025,0.12377600371837616,0.2210880070924759
5,measured_0,140,middle,0.5416666666666667,30,440,960,7680,5754,0.74921875,"[1891, 1494, 2620, 1675]",0.22285672626759176,3.1145834922790527,184,17.0,0.2391304347826087,14.918304443359375,5.157631874084473,1.026911973953247,0.2287680059671402,0.20112000405788422,0.3072960078716278
6,measured_0,141,middle,0.6072916666666667,30,377,960,7680,5796,0.7546875,"[1812, 1429, 2648, 1791]",0.23283201586733562,3.126041889190674,199,14,0.2814070351758794,14.19536018371582,4.3766398429870605,1.0978879928588867,0.28352001309394836,0.036320000886917114,0.15007999539375305
7,measured_0,142,middle,0.5,30,480,960,7680,5667,0.737890625,"[1691, 1447, 2842, 1700]",0.28224337494377577,3.0833334922790527,195,14,0.26153846153846155,14.084575653076172,4.308191776275635,1.046336054801941,0.2470719963312149,0.03526400029659271,0.07119999825954437
8,measured_0,143,middle,0.3822916666666667,30,593,960,7680,5736,0.746875,"[1529, 1451, 2992, 1708]",0.325986125793828,3.0604168176651,188,13.0,0.25,14.02188777923584,4.24832010269165,1.067520022392273,0.29526400566101074,0.03513599932193756,0.05283199995756149
9,measured_0,144,middle,0.39375000000000004,30,582,960,7680,5548,0.7223958333333333,"[1565, 1403, 2948, 1764]",0.31621425502042916,3.0343751907348633,190,13.0,0.2578947368421053,13.854463577270508,4.115903854370117,1.0616639852523804,0.2768639922142029,0.03542400151491165,0.07446400076150894
10,measured_0,145,middle,0.43103448275862066,29,528,928,7424,5453,0.7345096982758621,"[1591, 1326, 2805, 1702]",0.30424425727203347,3.006465494632721,187,13,0.27807486631016043,13.837504386901855,4.5120320320129395,1.0234559774398804,0.23590399324893951,0.10700800269842148,0.20601600408554077
11,measured_0,146,middle,0.5100446428571428,28,439,896,7168,5404,0.75390625,"[1626, 1237, 2645, 1660]",0.29004627607543315,3.0200894474983215,195,13,0.3128205128205128,13.280223846435547,4.219103813171387,1.029919981956482,0.20131200551986694,0.09481599926948547,0.21216000616550446
12,measured_0,147,middle,0.5078125,28,441,896,7168,5267,0.7347935267857143,"[1590, 1220, 2704, 1654]",0.3080306595729166,3.0312501788139343,198,11.5,0.30303030303030304,13.715519905090332,4.609568119049072,1.0831040143966675,0.2650879919528961,0.18873600661754608,0.29094401001930237
13,measured_0,148,middle,0.5089285714285714,28,440,896,7168,5257,0.7333984375,"[1594, 1117, 2665, 1792]",0.31281846615482684,3.0189733505249023,195,12,0.28717948717948716,13.040960311889648,3.821216106414795,1.0580480098724365,0.23523199558258057,0.03734400123357773,0.07827199995517731
14,measured_0,149,middle,0.5520833333333333,27,387,864,6912,5100,0.7378472222222222,"[1514, 1104, 2605, 1689]",0.31773705639911365,3.024305522441864,194,12.0,0.29896907216494845,12.828895568847656,3.9985599517822266,1.0517760515213013,0.2598080039024353,0.03587200120091438,0.1624639928340912
