call,request_id,phase,normalized_progress,ready_requests,masked_before,accepted,accepted_per_ready_request,confidence_median,confidence_p90,threshold,policy
0,measured_0,middle,0.5030241935483871,31,493,66,2.129032258064516,0.31601881980895996,0.8470126390457153,0.9,"phase:0.9,0.825,0.825"
1,measured_0,middle,0.5695564516129032,31,427,106,3.4193548387096775,0.513483464717865,0.9831409454345703,0.9,"phase:0.9,0.825,0.825"
2,measured_0,middle,0.6118951612903225,31,385,90,2.903225806451613,0.45922717452049255,0.9736133813858032,0.9,"phase:0.9,0.825,0.825"
3,measured_0,middle,0.6381048387096775,31,359,77,2.4838709677419355,0.4027605950832367,0.9722246527671814,0.9,"phase:0.9,0.825,0.825"
4,measured_0,middle,0.6189516129032258,31,378,66,2.129032258064516,0.39378711581230164,0.9229220151901245,0.9,"phase:0.9,0.825,0.825"
5,measured_0,middle,0.5416666666666667,30,440,95,3.1666666666666665,0.3265553265810013,0.9972008466720581,0.9,"phase:0.9,0.825,0.825"
6,measured_0,middle,0.6072916666666667,30,377,57,1.9,0.3013847768306732,0.9339373111724854,0.9,"phase:0.9,0.825,0.825"
7,measured_0,middle,0.5,30,480,79,2.6333333333333333,0.3014433830976486,0.9421550035476685,0.9,"phase:0.9,0.825,0.825"
8,measured_0,middle,0.3822916666666667,30,593,75,2.5,0.2633303701877594,0.8651190400123596,0.9,"phase:0.9,0.825,0.825"
9,measured_0,middle,0.39375000000000004,30,582,86,2.8666666666666667,0.35552211105823517,0.904498815536499,0.9,"phase:0.9,0.825,0.825"
10,measured_0,middle,0.43103448275862066,29,528,89,3.0689655172413794,0.35500088334083557,0.9458410143852234,0.9,"phase:0.9,0.825,0.825"
11,measured_0,middle,0.5100446428571428,28,439,62,2.2142857142857144,0.37393254041671753,0.8938800096511841,0.9,"phase:0.9,0.825,0.825"
12,measured_0,middle,0.5078125,28,441,65,2.3214285714285716,0.3707069754600525,0.9358267784118652,0.9,"phase:0.9,0.825,0.825"
