M,active_experts,cuda_ms,dp_rank,ep_rank,ep_size,expert_cv,expert_entropy,expert_hhi,expert_max_load,expert_max_mean,expert_p90_load,fanout_f1,fanout_f2,fanout_f3,fanout_f4,fanout_max,fanout_mean,fanout_median,fanout_p10,fanout_p90,layer,padded_work_proxy,phase,rank_cv,rank_max_mean,request_context,route_file,timestamp_ns,top_k,total_assignments,traffic_concentration,traffic_entropy,wall_ms
8.0,8.0,0.8353919982910156,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,2,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000051_dp0_l2.npz,3282486926432508,8,64.0,1.0,-1.000088900581841e-12,0.841098
8.0,8.0,0.7939519882202148,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,2,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000051_dp0_l2.npz,3282486926517117,8,64.0,1.0,-1.000088900581841e-12,0.800066
8.0,8.0,0.8043199777603149,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,3,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000052_dp1_l3.npz,3282486929358317,8,64.0,1.0,-1.000088900581841e-12,0.810197
8.0,8.0,0.8134080171585083,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,3,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000052_dp0_l3.npz,3282486929392749,8,64.0,1.0,-1.000088900581841e-12,0.819725
8.0,8.0,0.8129600286483765,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,3,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000052_dp1_l3.npz,3282486929350127,8,64.0,1.0,-1.000088900581841e-12,0.819071
8.0,8.0,0.7952640056610107,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,3,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000052_dp0_l3.npz,3282486929367745,8,64.0,1.0,-1.000088900581841e-12,0.801193
8.0,8.0,0.8841279745101929,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,4,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000053_dp1_l4.npz,3282486932455438,8,64.0,1.0,-1.000088900581841e-12,0.890669
8.0,8.0,0.8868160247802734,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,4,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000053_dp1_l4.npz,3282486932453437,8,64.0,1.0,-1.000088900581841e-12,0.892806
8.0,8.0,0.7727360129356384,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,4,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000053_dp0_l4.npz,3282486932567182,8,64.0,1.0,-1.000088900581841e-12,0.778425
8.0,8.0,0.8723199963569641,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,4,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000053_dp0_l4.npz,3282486932515882,8,64.0,1.0,-1.000088900581841e-12,0.877869
8.0,8.0,0.770687997341156,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,5,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000054_dp1_l5.npz,3282486935476474,8,64.0,1.0,-1.000088900581841e-12,0.7768
8.0,8.0,0.8354560136795044,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,5,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000054_dp1_l5.npz,3282486935412067,8,64.0,1.0,-1.000088900581841e-12,0.842569
8.0,8.0,0.8234879970550537,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,5,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000054_dp0_l5.npz,3282486935468029,8,64.0,1.0,-1.000088900581841e-12,0.829556
8.0,8.0,0.8152639865875244,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,5,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000054_dp0_l5.npz,3282486935432349,8,64.0,1.0,-1.000088900581841e-12,0.82157
8.0,8.0,0.7904959917068481,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,6,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000055_dp1_l6.npz,3282486938322196,8,64.0,1.0,-1.000088900581841e-12,0.796346
8.0,8.0,0.8142399787902832,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,6,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000055_dp1_l6.npz,3282486938299129,8,64.0,1.0,-1.000088900581841e-12,0.820227
8.0,8.0,0.7320320010185242,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,6,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000055_dp0_l6.npz,3282486938381307,8,64.0,1.0,-1.000088900581841e-12,0.73778
8.0,8.0,0.845088005065918,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,6,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000055_dp0_l6.npz,3282486938311175,8,64.0,1.0,-1.000088900581841e-12,0.851279
8.0,8.0,0.8568320274353027,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,7,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000056_dp1_l7.npz,3282486941163503,8,64.0,1.0,-1.000088900581841e-12,0.863205
8.0,8.0,0.7973440289497375,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,7,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000056_dp0_l7.npz,3282486941223203,8,64.0,1.0,-1.000088900581841e-12,0.804272
8.0,8.0,0.8333439826965332,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,7,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000056_dp0_l7.npz,3282486941249702,8,64.0,1.0,-1.000088900581841e-12,0.839716
8.0,8.0,0.8428159952163696,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,7,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000056_dp1_l7.npz,3282486941177265,8,64.0,1.0,-1.000088900581841e-12,0.849008
