experiment,sample,layer,semantic_dispatch_ms,refined_dispatch_ms,refine_delta_dispatch_ms,semantic_expert_ms,refined_expert_ms,refine_delta_expert_ms,semantic_combine_ms,refined_combine_ms,refine_delta_combine_ms,semantic_moe_ms,refined_moe_ms,refine_delta_moe_ms,semantic_projected_ttft_reduction_pct,refined_projected_ttft_reduction_pct,refine_delta_projected_ttft_reduction_pct
deepep_replay_global_camera_e448_l4_20260911,camera_e448,4,0.8728800117969513,0.8792800009250641,0.006399989128112793,2.0594719648361206,2.0096479654312134,-0.04982399940490723,0.8878079950809479,0.7121599912643433,-0.17564800381660461,3.4614239931106567,3.425727963447571,-0.03569602966308594,11.183943205413224,11.70995551326908,0.5260123078558561
deepep_replay_exactbudget_camera_e448_l24_20260911,camera_e448,24,0.8633439838886261,0.8858560025691986,0.02251201868057251,2.190575957298279,2.0667999982833862,-0.12377595901489258,1.123408019542694,0.92671999335289,-0.19668802618980408,3.580288052558899,3.483296036720276,-0.09699201583862305,10.550068813190116,11.949052344388807,1.3989835311986916
deepep_replay_exactbudget_cell_e448_l24_20260911,cell_e448,24,0.953904002904892,0.9194879829883577,-0.03441601991653431,2.48196792602539,2.1761600971221924,-0.3058078289031978,1.6392160058021543,1.0999199748039246,-0.5392960309982298,4.0076000690460205,3.642880082130432,-0.3647199869155884,9.883992891467551,14.64430659724729,4.760313705779739
deepep_replay_exactbudget_chessboard_RGB_e448_l24_20260911,chessboard_RGB_e448,24,0.8335999846458435,0.8219360113143921,-0.011663973331451416,2.07915198802948,1.9952319860458372,-0.0839200019836428,0.9502719938755037,0.6617439985275269,-0.2885279953479768,3.4326720237731934,3.327232003211975,-0.10544002056121826,11.58844428826172,13.142784757677068,1.554340469415349
deepep_replay_global_camera_e448_l44_20260911,camera_e448,44,0.8215039968490601,0.8603200018405914,0.03881600499153137,2.0873279571533203,2.0001440048217773,-0.08718395233154297,0.7624000012874603,0.6156319975852966,-0.1467680037021637,3.419535994529724,3.3802719116210938,-0.03926408290863037,12.251230328003851,12.824653649667727,0.573423321663876
