source,ep_size,n,semantic_max_rank_load_median,semantic_max_rank_load_p10,semantic_max_rank_load_p90,semantic_max_mean_median,semantic_max_mean_p10,semantic_max_mean_p90,refined_max_rank_load_median,refined_max_rank_load_p10,refined_max_rank_load_p90,refined_max_mean_median,refined_max_mean_p10,refined_max_mean_p90,additional_max_rank_work_removed_median,additional_max_rank_work_removed_p10,additional_max_rank_work_removed_p90,incremental_max_rank_oracle_pct_median,incremental_max_rank_oracle_pct_p10,incremental_max_rank_oracle_pct_p90,semantic_max_rank_reduction_vs_stock_pct_median,semantic_max_rank_reduction_vs_stock_pct_p10,semantic_max_rank_reduction_vs_stock_pct_p90,refined_max_rank_reduction_vs_stock_pct_median,refined_max_rank_reduction_vs_stock_pct_p10,refined_max_rank_reduction_vs_stock_pct_p90,incremental_max_rank_reduction_pp_median,incremental_max_rank_reduction_pp_p10,incremental_max_rank_reduction_pp_p90
EP4_output_capture_virtual_linear_remap,2,54,693.5,400.0,1492.4,1.0777999978348567,1.012307428557575,1.1588301607761216,653.0,383.0,1327.0,1.0,1.0,1.0003769317753486,35.0,8.600000000000001,166.7,7.200890580283542,1.1970400676787691,13.669350491261635,26.361649315025176,22.667238421955403,29.447410949547184,30.68696243178632,26.246813398547502,37.375827371262105,5.3683095147530295,0.8602993319150525,9.782761798649227
EP4_output_capture_virtual_linear_remap,4,54,400.0,223.0,894.2,1.2178497315063237,1.0892566543648716,1.405181686310796,327.0,192.0,664.0,1.0026109660574412,1.001130795326046,1.0294605151663372,69.5,23.3,230.20000000000002,17.095265926358856,7.9823807477438775,26.465428886786505,25.521161624120182,22.21819942809704,28.935049195817843,37.91943144719318,31.76098243976431,46.585084635096166,13.278535980148883,5.940508766595723,20.31822082379863
EP4_output_capture_virtual_linear_remap,8,54,259.0,129.3,538.9,1.5499434602336977,1.2867391014477527,1.7562021439509954,170.0,98.0,350.7,1.0345823054070589,1.003205930451541,1.1642066047913628,82.5,29.0,189.10000000000002,29.010703055373387,20.96383647798742,36.20855028775007,25.500853914871257,20.415801468726258,29.640198511166254,47.37479688950789,40.10909090909091,53.66228070175438,21.30928330928331,15.181422351233673,27.04571038402628
EP4_output_capture_virtual_linear_remap,16,54,153.5,79.0,317.4,1.7963446475195823,1.531070496083551,2.213155590386208,91.5,55.0,189.4,1.1365837974750765,1.0554089709762533,1.4129892562545234,57.5,25.3,130.90000000000003,36.235176343754816,28.23013698630137,42.91958041958042,24.405393717812636,19.56914795730585,31.613726602382304,51.903023036116565,47.05882352941177,57.78856624319419,26.92103951140471,19.929643527204504,32.42914979757085
historical_real_EP8_routes_router_risk_schedule,8,36,734.5,232.5,1069.0,1.4000016360441345,1.2492414390983964,1.5589228018021326,531.5,166.0,858.0,1.0145555872022678,1.0006794630103608,1.065104864828775,183.0,66.0,273.5,27.325961853070808,19.84143038233175,32.915738148296285,25.56281013319405,20.97411680867817,29.433857281958545,45.23317530242136,40.65768641802279,49.6724321871781,19.942365211532422,14.2962080835323,24.942650097228977
