selected_layers,layer_ids,logical_incremental_mass_retained_pct,relative_refinement_layer_exposure_pct
1,[24],19.692425114562134,16.666666666666668
2,"[24, 4]",37.50032491087381,33.333333333333336
3,"[24, 4, 12]",54.63243774055621,50.0
4,"[24, 4, 12, 36]",71.66001147544158,66.66666666666667
5,"[24, 4, 12, 36, 47]",86.73111825042534,83.33333333333333
6,"[24, 4, 12, 36, 47, 44]",99.99999999999999,100.0
