request_id,layer,owner_rank,helper_rank,owner_ms,helper_ms,second_slowest_ms,helper_slack_ms,helper_slack_fraction,owner_assignments,hot_visual_expert_assignments,zero_cost_ideal_makespan_ms,zero_cost_ideal_speedup,oracle_25_makespan_ms,oracle_25_speedup,oracle_50_makespan_ms,oracle_50_speedup
bit_allocate,0,2,1,0.4647040069103241,0.4622400104999542,0.46355199813842773,0.002463996410369873,0.005302292155284473,1147,128,0.46355199813842773,1.002485177016867,0.4752047256012013,0.9779027477523665,0.48816944070244833,0.9519317846722261
bit_allocate,1,1,0,0.44703999161720276,0.4402559995651245,0.44681599736213684,0.006783992052078247,0.015175358310867481,1712,156,0.44681599736213684,1.000501312075638,0.45043973769191825,0.992452384214288,0.460623475818712,0.9705106558510377
bit_allocate,2,1,2,0.45158401131629944,0.4500479996204376,0.45129600167274475,0.0015360116958618164,0.0034013863586192378,1510,248,0.45129600167274475,1.0006381834593863,0.46858985968772937,0.9637084584315104,0.4871317197550212,0.9270264961259376
bit_allocate,3,3,0,0.4551039934158325,0.437855988740921,0.4543040096759796,0.0172480046749115,0.0378990404928217,1385,149,0.4543040096759796,1.0017608995800489,0.4543040096759796,1.0017608995800489,0.4623363118524586,0.984357018362568
bit_allocate,4,3,2,0.4464319944381714,0.4320639967918396,0.4386560022830963,0.014367997646331787,0.032184067955106394,1122,128,0.4392479956150055,1.0163552227782107,0.444796460091324,1.0036770399353259,0.45752892339080836,0.9757459509436122
bit_allocate,5,3,1,0.45494401454925537,0.43379199504852295,0.4466879963874817,0.021152019500732422,0.04649367575851986,1360,179,0.4466879963874817,1.018482740141985,0.44876166023314,1.0137764761653292,0.463731325417757,0.9810508577125224
bit_allocate,6,2,3,0.4405440092086792,0.43564799427986145,0.4395520091056824,0.004896014928817749,0.011113566014919021,1666,215,0.4395520091056824,1.0022568435189618,0.4498612238686769,0.9792886913438053,0.4640744534574923,0.9492959716409634
bit_allocate,7,3,1,0.4437119960784912,0.4256959855556488,0.4384320080280304,0.018016010522842407,0.040602937675941114,2069,440,0.4384320080280304,1.0120428890997466,0.44928628017557826,0.9875930239959505,0.4728765747955077,0.93832517770704
bit_allocate,8,2,0,0.4443199932575226,0.436352014541626,0.44255998730659485,0.007967978715896606,0.017932973615433192,1515,319,0.44255998730659485,1.0039768754550973,0.4597411362989114,0.9664568997120101,0.48313025805619686,0.9196691489479014
bit_allocate,9,2,1,0.4503999948501587,0.4394240081310272,0.4448319971561432,0.01097598671913147,0.024369420170137913,1428,350,0.44491200149059296,1.012335008588618,0.4670220470311595,0.96440842078727,0.49462008593129175,0.9105978662433944
