heldout_request,model,rmse_ms
deep_field,N_only,0.15668261150598747
deep_field,N_plus_shape,0.15617751064995666
model_card,N_only,0.32761326243737465
model_card,N_plus_shape,0.3336482428108721
retina,N_only,0.13882354279654174
retina,N_plus_shape,0.15710238705277277
