physical_src,physical_dst,expert_bytes,copy_p50_ms,copy_p90_ms,bandwidth_GBps,compute_p50_ms,concurrent_p50_ms,visible_copy_p50_ms
4,5,12582912,0.05571199953556061,0.05732159912586213,225.85640624814425,0.1496800035238266,0.18804799765348434,0.038367994129657745
4,6,12582912,0.05580800026655197,0.05816639959812164,225.4678888313699,0.14846400171518326,0.18859200179576874,0.04012800008058548
4,7,12582912,0.05579200014472008,0.0570624016225338,225.53254888444422,0.1507679969072342,0.1876640021800995,0.036896005272865295
5,4,12582912,0.05593600124120712,0.05763200148940087,224.95194008845914,0.14921599626541138,0.18804799765348434,0.03883200138807297
5,6,12582912,0.05471999943256378,0.05751999840140343,229.9508795775303,0.13902399688959122,0.18585599958896637,0.04683200269937515
5,7,12582912,0.05475199967622757,0.055932800844311716,229.8164829487186,0.13848000019788742,0.1857759952545166,0.04729599505662918
6,4,12582912,0.0549280010163784,0.05790720097720623,229.08010062569062,0.13871999830007553,0.18614399433135986,0.04742399603128433
6,5,12582912,0.05451199971139431,0.0576255988329649,230.82829590949444,0.14027199894189835,0.1871199980378151,0.04684799909591675
6,7,12582912,0.0545439999550581,0.05632319971919059,230.6928719999959,0.1388320028781891,0.1849760040640831,0.04614400118589401
7,4,12582912,0.05526399984955788,0.059734399989247323,227.68731967019696,0.14721599966287613,0.24563200026750565,0.09841600060462952
7,5,12582912,0.05567999929189682,0.05890560075640679,225.98620977050203,0.16865599900484085,0.24979200214147568,0.08113600313663483
7,6,12582912,0.05596800148487091,0.0583904005587101,224.82332165105757,0.16804799437522888,0.25121600925922394,0.08316801488399506
