label,task,n,mini,generation,threshold,policy,policy_class,observer_heavy,correct,accuracy_pct,nfe,generated_tokens,bct_s,waves,evidence,baseline_quality_pct,quality_delta_pp,baseline_median_bct_s,latency_gain_pct,nfe_reduction_pct,statistical_status
dynpilot1_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.9",dynamic,False,13,40.625,102,5224,7.7039,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,-0.07729330536051099,0.0,descriptive_only_use_paired_stats_json
frontier1_gsm8k32_t800,gsm8k,32,32,128,0.8,static,static,False,12,37.5,91,5212,6.8763,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,10.673620899070542,10.784313725490197,descriptive_only_use_paired_stats_json
frontier1_gsm8k32_t850,gsm8k,32,32,128,0.85,static,static,False,12,37.5,100,5203,10.4423,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,-35.650400431283636,1.9607843137254901,descriptive_only_use_paired_stats_json
frontier1_gsm8k32_t950,gsm8k,32,32,128,0.95,static,static,False,12,37.5,118,5226,13.1291,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,-70.55319922836597,-15.686274509803921,descriptive_only_use_paired_stats_json
frontier2_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,9.286,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,-20.62951824836481,13.72549019607843,descriptive_only_use_paired_stats_json
frontier2_gsm8k32_t875,gsm8k,32,32,128,0.875,static,static,False,12,37.5,98,5215,12.8706,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,-67.19516234841741,3.9215686274509802,descriptive_only_use_paired_stats_json
frontier2_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.7427,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,-0.5813235991400258,0.0,descriptive_only_use_paired_stats_json
frontier2_gsm8k32_t925,gsm8k,32,32,128,0.925,static,static,False,12,37.5,115,5208,12.9756,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,-68.55916185477952,-12.745098039215685,descriptive_only_use_paired_stats_json
full1_gsm8k1319_t900,gsm8k,1319,32,128,0.9,static,static,False,144,10.917361637604246,3226,148238,227.7815,42,actual_full_trajectory,10.917361637604246,0.0,227.7815,0.0,0.0,descriptive_only_use_paired_stats_json
full1phase_gsm8k1319_p00,gsm8k,1319,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,146,11.06899166034875,2965,148237,212.0893,42,actual_full_trajectory,10.917361637604246,0.151630022744504,227.7815,6.889145957858731,8.090514569125853,descriptive_only_use_paired_stats_json
