run_id,call_id,iteration_id,block_id,masked_before,masked_after,physical_m
expository_b1,0,0,0,64,63,128
expository_b1,1,1,0,63,62,128
expository_b1,2,2,0,62,60,128
expository_b1,3,3,0,60,58,128
expository_b1,4,4,0,58,56,128
expository_b1,5,5,0,56,54,128
expository_b1,6,6,0,54,52,128
expository_b1,7,7,0,52,51,128
expository_b1,8,8,0,51,49,128
expository_b1,9,9,0,49,47,128
expository_b1,10,10,0,47,44,128
expository_b1,11,11,0,44,40,128
expository_b1,12,12,0,40,35,128
expository_b1,13,13,0,35,30,128
expository_b1,14,14,0,30,24,128
expository_b1,15,15,0,24,5,128
expository_b1,16,16,0,5,2,128
expository_b1,17,17,0,2,1,128
expository_b1,18,18,0,1,0,128
math_b1,0,0,0,64,63,128
math_b1,1,1,0,63,62,128
math_b1,2,2,0,62,61,128
math_b1,3,3,0,61,60,128
math_b1,4,4,0,60,57,128
math_b1,5,5,0,57,56,128
math_b1,6,6,0,56,52,128
math_b1,7,7,0,52,51,128
math_b1,8,8,0,51,50,128
math_b1,9,9,0,50,49,128
math_b1,10,10,0,49,48,128
math_b1,11,11,0,48,47,128
math_b1,12,12,0,47,46,128
math_b1,13,13,0,46,45,128
math_b1,14,14,0,45,44,128
math_b1,15,15,0,44,42,128
math_b1,16,16,0,42,41,128
math_b1,17,17,0,41,40,128
math_b1,18,18,0,40,39,128
math_b1,19,19,0,39,38,128
math_b1,20,20,0,38,33,128
math_b1,21,21,0,33,32,128
math_b1,22,22,0,32,31,128
math_b1,23,23,0,31,21,128
math_b1,24,24,0,21,20,128
math_b1,25,25,0,20,17,128
math_b1,26,26,0,17,2,128
math_b1,27,27,0,2,1,128
math_b1,28,28,0,1,0,128
systems_b1,0,0,0,64,38,128
systems_b1,1,1,0,38,7,128
systems_b1,2,2,0,7,4,128
systems_b1,3,3,0,4,2,128
systems_b1,4,4,0,2,1,128
systems_b1,5,5,0,1,0,128
