layer,rows,ordered_topk_same_pct,topk_set_same_pct,destination_set_same_pct,branch_persistence_pct,router_rel_l2_median,hidden_rel_l2_median,moe_output_rel_l2_median
0,2344,12.969283276450511,43.984641638225256,86.94539249146757,84.57764505119454,0.0029411069117486,0.03059586510062215,0.1249356791377067
1,2344,3.7116040955631395,23.12286689419795,99.95733788395904,77.18110068259386,0.0067601983901113,0.0916589424014091,0.3273980021476745
2,2344,2.773037542662116,14.590443686006827,99.6160409556314,72.07764505119454,0.011767339892685351,0.1303203105926513,0.3668856918811798
3,2344,1.1945392491467577,8.916382252559726,99.6160409556314,61.129479522184305,0.02183599956333635,0.216984674334526,0.5036911964416504
4,2344,1.1945392491467577,7.508532423208192,98.97610921501706,54.17022184300341,0.02927388157695525,0.360622376203537,0.71169114112854
5,2344,1.2798634812286689,8.404436860068259,99.57337883959045,52.57572525597269,0.035792494192719404,0.4889844059944153,0.6457948088645935
6,2344,1.3225255972696246,8.575085324232083,99.06143344709898,50.59193686006825,0.053804060444235746,0.6192086935043335,0.7798747420310974
7,2344,1.2798634812286689,10.324232081911262,99.82935153583618,52.58639078498294,0.0690818540751934,0.6805776357650757,0.7018071413040161
8,2344,1.877133105802048,10.580204778156997,99.44539249146757,50.39995733788396,0.07867407798767084,0.7940365672111511,0.8931220769882202
9,2344,1.5358361774744027,10.409556313993173,99.9146757679181,51.253199658703075,0.08519246801733965,0.8099722266197205,0.8052042126655579
10,2344,2.0051194539249146,10.238907849829351,99.78668941979522,50.346629692832764,0.09440848976373666,0.7999482154846191,0.8854314088821411
11,2344,1.621160409556314,11.13481228668942,99.78668941979522,51.231868600682596,0.10048225149512285,0.7958542108535767,0.8950904011726379
12,2344,1.7064846416382253,9.385665529010238,97.99488054607508,51.919795221843,0.1056157983839511,0.8158251643180847,0.8667635321617126
13,2344,1.3651877133105803,10.45221843003413,99.18941979522185,53.18366040955631,0.10576552897691724,0.7412610650062561,1.007158279418945
14,2344,0.938566552901024,10.622866894197951,97.48293515358361,64.5797781569966,0.0531928557902574,0.436025470495224,0.7724993228912354
15,2344,1.9197952218430034,23.592150170648466,99.82935153583618,76.13587883959045,0.0250278823077678,0.24385944753885264,0.2619231939315796
