candidate,scope,removable_assignment_fraction_stock,projected_e2e_upper_bound_pct,correctness_risk,removable_fraction_of_observed_fresh_branches,projected_moe_local_gain_pct,combined_error_median,combined_error_p95
Epoch-equivalent live/new/refresh fresh lane,already claimed by Epoch; excluded from novelty,0.5219907407407407,,bounded decoded-cache approximation,,,,
perfect router recomputation elimination,post-Epoch upper bound; no executable exact predictor,0.0,2.692957633125069,high: live gate values are iteration-clock state,,,,
unchanged routing/layout delta update,post-Epoch structural metadata only,0.0,0.024903122155292598,low for metadata; gate/top-k still recomputed,,,,
bit-identical stable branch reuse,"post-Epoch fresh-lane residual, perfect-future oracle",0.0,0.0,none observed,0.0,0.0,0.0,0.0
0.1%-expert-output-change branch reuse,"post-Epoch fresh-lane residual, perfect-future oracle",0.0,0.0,approximate; no rollout/benchmark validation,0.0,0.0,0.0,0.0
1%-expert-output-change branch reuse,"post-Epoch fresh-lane residual, perfect-future oracle",0.000732421875,0.0014111468102459442,approximate; no rollout/benchmark validation,0.0044763746891406464,0.009587585372396686,0.0,0.0
5%-expert-output-change branch reuse,"post-Epoch fresh-lane residual, perfect-future oracle",0.009975857204861112,0.023270010358720686,approximate; no rollout/benchmark validation,0.06096988118264714,0.1581006379427707,0.0,0.013706470094621177
