run_id,transition,fresh_generation_branches,reusable_le_5pct,masked_before,reusable_le_5pct_of_fresh_pct
expository_b1,1,8192.0,93.0,63,1.13525390625
expository_b1,2,8064.0,198.0,62,2.455357142857143
expository_b1,3,7936.0,41.0,60,0.516633064516129
expository_b1,4,7680.0,119.0,58,1.5494791666666667
expository_b1,5,8192.0,239.0,56,2.91748046875
expository_b1,6,7168.0,240.0,54,3.3482142857142856
expository_b1,7,6912.0,236.0,52,3.4143518518518516
expository_b1,8,6656.0,679.0,51,10.201322115384615
expository_b1,9,6528.0,335.0,49,5.1317401960784315
expository_b1,10,8192.0,384.0,47,4.6875
expository_b1,11,6016.0,117.0,44,1.944813829787234
expository_b1,12,5632.0,29.0,40,0.5149147727272727
expository_b1,13,5120.0,11.0,35,0.21484375
expository_b1,14,4480.0,13.0,30,0.29017857142857145
expository_b1,15,8192.0,24.0,24,0.29296875
expository_b1,16,3072.0,0.0,5,0.0
expository_b1,17,640.0,0.0,2,0.0
expository_b1,18,256.0,0.0,1,0.0
math_b1,1,1536.0,101.0,63,6.575520833333333
math_b1,2,1512.0,473.0,62,31.28306878306878
math_b1,3,1488.0,263.0,61,17.6747311827957
math_b1,4,1464.0,224.0,60,15.300546448087431
math_b1,5,1536.0,98.0,57,6.380208333333333
math_b1,6,1368.0,311.0,56,22.73391812865497
math_b1,7,1344.0,0.0,52,0.0
math_b1,8,1248.0,295.0,51,23.637820512820515
math_b1,9,1224.0,308.0,50,25.163398692810457
math_b1,10,1536.0,283.0,49,18.424479166666668
math_b1,11,1176.0,215.0,48,18.282312925170068
math_b1,12,1152.0,206.0,47,17.881944444444443
math_b1,13,1128.0,293.0,46,25.97517730496454
math_b1,14,1104.0,13.0,45,1.1775362318840579
math_b1,15,1536.0,433.0,44,28.190104166666668
math_b1,16,1056.0,88.0,42,8.333333333333334
math_b1,17,1008.0,273.0,41,27.083333333333332
math_b1,18,984.0,233.0,40,23.678861788617887
math_b1,19,960.0,231.0,39,24.0625
math_b1,20,1536.0,397.0,38,25.846354166666668
math_b1,21,912.0,62.0,33,6.798245614035087
math_b1,22,792.0,147.0,32,18.560606060606062
math_b1,23,768.0,204.0,31,26.5625
math_b1,24,744.0,0.0,21,0.0
math_b1,25,1536.0,472.0,20,30.729166666666668
math_b1,26,480.0,66.0,17,13.75
math_b1,27,408.0,0.0,2,0.0
math_b1,28,48.0,0.0,1,0.0
systems_b1,1,1536.0,0.0,38,0.0
systems_b1,2,912.0,0.0,7,0.0
systems_b1,3,168.0,1.0,4,0.5952380952380952
systems_b1,4,96.0,0.0,2,0.0
systems_b1,5,1536.0,378.0,1,24.609375
