layer,observed_persistent_branches,median,p10,le_1pct,le_5pct,le_10pct
0,15860,0.051113756499999996,0.0159924294,4.003783102143758,48.909205548549814,79.18663303909206
1,5264,0.11432215000000001,0.0442358994,0.09498480243161095,12.86094224924012,42.743161094224924
2,5235,0.14305113,0.06683167400000001,0.0,4.106972301814708,26.246418338108885
3,4682,0.268863465,0.1012375595,0.0,1.7727466894489536,9.8035027765912
4,3805,0.3748526,0.128556696,0.0,0.8147174770039421,5.9395532194480944
5,3540,0.44331973999999996,0.14685306600000003,0.0,0.19774011299435026,4.463276836158192
6,3348,0.50588225,0.18812800200000002,0.0,0.0,1.6427718040621269
7,9861,0.49682292,0.18169478,0.07098671534327147,0.3752154953858635,1.4197343068654296
8,3015,0.6219687,0.260126896,0.0,0.0,0.1990049751243781
9,3009,0.61859894,0.268389308,0.0,0.0,0.0
10,2907,0.6471699,0.267663532,0.0,0.0,0.06879944960440317
11,2952,0.640474,0.273262292,0.0,0.0,0.0
12,3049,0.6704091,0.294051572,0.0,0.0,0.0
13,3341,0.69764084,0.32970488,0.0,0.0,0.0
14,4571,0.5382691,0.34626454,0.0,0.0,0.0
15,14277,0.23652577,0.15227407399999998,0.007004272606289837,0.1330811795195069,1.3798417034390977
