source,sample,layer,tokens,renormalized,policy,reps,moe_median_ms,moe_p90_ms,moe_gain_pct,expert_gain_pct,worst_rel_l2_median,worst_cosine_median,assignment_drop_fraction,router_mass_drop_fraction
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_semantic_0.2,30,3.945888042449951,3.9661025047302245,7.704915226174414,10.545005786476192,0.18959616124629974,0.981908917427063,0.1773223876953125,0.11294776201248169
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_tail_0.1,30,3.942799925804138,3.9623809099197387,7.777146872017015,11.173823560713391,0.13544777035713196,0.9908057451248169,0.088653564453125,0.0534706711769104
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_random_0.1,30,4.115056037902832,4.137663841247559,3.748043081457497,5.249751515947565,0.19463349878787994,0.9808965921401978,0.088653564453125,0.07913211733102798
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_semantic_0.1,30,4.120352029800415,4.131155252456665,3.6241688062904287,5.054724613885964,0.12408594787120819,0.9922889471054077,0.088653564453125,0.048566363751888275
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_tail_0.2,30,3.7372000217437744,3.751801633834839,12.586168408005605,17.510991398640808,0.19693374633789062,0.980468213558197,0.1773223876953125,0.1187901720404625
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,full_k8,30,4.275295972824097,4.2859712600708,0.0,0.0,0.0,1.0,0.0,0.0
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_random_0.2,30,3.908527970314026,3.9216447830200196,8.57877454195991,11.452176776660428,0.27713170647621155,0.960917592048645,0.1773223876953125,0.15827351808547974
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.4,30,3.2757760286331177,3.2908448934555055,23.209984713647913,30.51125982719004,0.6067913770675659,0.9285216927528381,0.354644775390625,0.2636985182762146
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.5,30,3.3586560487747192,3.3871488332748414,21.26712965946327,27.147583986593094,0.7205803394317627,0.9105429649353027,0.44329833984375,0.339649498462677
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.3,30,3.7344640493392944,3.7456127405166626,12.457521842616014,16.522841849391,0.4716920852661133,0.9516561031341553,0.2659759521484375,0.18413083255290985
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.4,30,3.5479999780654907,3.554784083366394,16.82857125451539,21.646075000692477,0.588473379611969,0.9327852129936218,0.354644775390625,0.2599485218524933
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.3,30,3.6931999921798706,3.7116831302642823,13.424824720575979,17.829654949466267,0.49118220806121826,0.9197959899902344,0.2659759521484375,0.23746928572654724
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.2,30,3.9419519901275635,3.9531775951385497,7.593635543431743,10.596959340456047,0.37542957067489624,0.9660756587982178,0.1773223876953125,0.11294776201248169
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,full_k8,30,4.265887975692749,4.277385663986206,0.0,0.0,0.0,1.0,0.0,0.0
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.1,30,3.9391039609909058,3.957164740562439,7.660398410925828,11.142500029834912,0.24603740870952606,0.9820883870124817,0.088653564453125,0.0534706711769104
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.1,30,4.115919828414917,4.126511812210083,3.5155200542620557,5.1031347705202235,0.2689493000507355,0.9800853133201599,0.088653564453125,0.048566363751888275
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.2,30,3.741744041442871,3.7586177110672,12.286865882003406,17.53413300874126,0.3560866415500641,0.9670508503913879,0.1773223876953125,0.1187901720404625
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.1,30,4.108943939208984,4.128976106643677,3.6790473021804604,5.296997832994698,0.2298368364572525,0.9763716459274292,0.088653564453125,0.07913211733102798
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.4,30,3.457871913909912,3.469008040428162,18.941333349280487,24.382643048926123,0.6314917206764221,0.8883618116378784,0.354644775390625,0.316437304019928
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.2,30,3.9060800075531006,3.91297926902771,8.434538604620023,11.408473299428834,0.3580111563205719,0.9499977231025696,0.1773223876953125,0.15827351808547974
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.5,30,3.1900320053100586,3.197270393371582,25.219977095342717,31.597019362570432,0.8060352206230164,0.8519253134727478,0.44329833984375,0.39570045471191406
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.3,30,3.4997920989990234,3.510681676864624,17.958649665883865,24.340680412978564,0.4988902509212494,0.946485161781311,0.2659759521484375,0.18901413679122925
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.5,30,3.003424048423767,3.0170783519744875,29.59439944186455,37.41000921381291,0.7217352390289307,0.9077209830284119,0.44329833984375,0.34304484724998474
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_semantic_0.2,30,3.886240005493164,3.9078975677490235,9.453868699690526,11.366121346775959,0.23632299900054932,0.9717052578926086,0.1773223876953125,0.13610656559467316
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_tail_0.1,30,3.9026559591293335,3.918819284439087,9.07139075410318,12.92842285428547,0.1578216701745987,0.9874729514122009,0.088653564453125,0.06646222621202469
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_random_0.1,30,4.132176160812378,4.151817560195923,3.7237626384204026,5.386839518775554,0.2022542655467987,0.9793449640274048,0.088653564453125,0.08358032256364822
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_semantic_0.1,30,4.0952959060668945,4.112028741836548,4.583041628872153,5.657382210899153,0.16715556383132935,0.9859423041343689,0.088653564453125,0.06218167394399643
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_tail_0.2,30,3.761504054069519,3.781871962547302,12.360111705657717,17.024095350347267,0.23148223757743835,0.9728717803955078,0.1773223876953125,0.138322114944458
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,full_k8,30,4.29200005531311,4.3492895603179935,0.0,0.0,0.0,1.0,0.0,0.0
replay_budget_camera_l44_M8192_preserve_20260911_0122.jsonl,camera_e448,44,8192,False,budget_random_0.2,30,3.92795193195343,3.9451936960220335,8.48201581239547,11.299827218787573,0.29159852862358093,0.9565849900245667,0.1773223876953125,0.16729356348514557
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_semantic_0.2,30,3.8946080207824707,3.9755328178405764,7.470043773832513,10.055398315971631,0.3015957772731781,0.9535209536552429,0.1773223876953125,0.13748183846473694
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_tail_0.1,30,3.9037280082702637,3.9313632965087892,7.253366758193048,9.44041700222309,0.20938822627067566,0.9778578281402588,0.088653564453125,0.06658666580915451
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_random_0.1,30,4.0395519733428955,4.058688116073609,4.026396168195112,5.638371667913855,0.25274723768234253,0.9675592184066772,0.088653564453125,0.08330143243074417
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_semantic_0.1,30,4.033408164978027,4.055168199539184,4.172363699723225,5.80043503079084,0.20116466283798218,0.9795782566070557,0.088653564453125,0.06423161923885345
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_tail_0.2,30,3.7123039960861206,3.735551953315735,11.801309804969161,15.52923657683648,0.3066457211971283,0.9519133567810059,0.1773223876953125,0.1400541365146637
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,full_k8,30,4.209023952484131,4.220995092391968,0.0,0.0,0.0,1.0000001192092896,0.0,0.0
replay_budget_camera_l4_M8192_preserve_20260911_0122.jsonl,camera_e448,4,8192,False,budget_random_0.2,30,3.8331360816955566,3.852723169326782,8.930523442774142,11.905273163240949,0.35867586731910706,0.9335609674453735,0.1773223876953125,0.1666645109653473
