prompt_M,samples,attention_48layer_critical_median_ms,attention_48layer_critical_p90_ms
256,3,31.988575875759125,32.422726285457614
8192,3,48.30572783946991,49.087347054481505
16384,3,127.77811217308044,127.83537974357606
