policy,sample_layers,vision_drop_fraction_median,router_mass_drop_fraction_median,max_rank_reduction_pct_median,max_rank_reduction_pct_p10
budget_random_0.01,54,0.01,0.00839334400370717,0.9661860802821276,0.6054970803734183
budget_random_0.02,54,0.02,0.016173232346773148,1.8347769831767724,1.2732703609597151
budget_random_0.05,54,0.049886621315192746,0.04049333184957504,4.36077350741505,3.518315018315017
budget_random_0.10,54,0.10005668934240362,0.0828833244740963,8.656684703622965,7.125063548551092
budget_random_0.20,54,0.20011337868480725,0.16308529675006866,17.7727732328339,15.167525773195878
budget_random_0.30,54,0.2998866213151927,0.2456243932247162,26.172161172161168,22.038288288288292
budget_random_0.40,54,0.39994331065759636,0.3275466710329056,34.75633255088813,30.697399527186764
budget_random_0.50,54,0.5,0.41166356205940247,43.28724758959432,37.44354838709677
budget_semantic_0.01,54,0.01,0.004252415848895907,0.7814407814407787,0.35210464276208553
budget_semantic_0.02,54,0.02,0.009346615988761187,1.5102653695438006,0.9655637382014315
budget_semantic_0.05,54,0.049886621315192746,0.02647867612540722,4.114105906427828,2.6393497013934977
budget_semantic_0.10,54,0.10005668934240362,0.05883224681019783,8.116430099998677,6.345150012196115
budget_semantic_0.20,54,0.20011337868480725,0.12746813893318176,16.194493890118352,12.856488937865556
budget_semantic_0.30,54,0.2998866213151927,0.20376377552747726,25.100969305331176,19.78925353925354
budget_semantic_0.40,54,0.39994331065759636,0.281873494386673,33.1929210166953,27.463097713097717
budget_semantic_0.50,54,0.5,0.36289726197719574,41.94009636109677,33.83194767764106
budget_tail_0.01,54,0.01,0.005192729877308011,2.774478754288734,2.175560164153888
budget_tail_0.02,54,0.02,0.01127340318635106,5.451463861995309,3.92425708857583
budget_tail_0.05,54,0.049886621315192746,0.030492134392261505,12.422360248447205,8.316415901111426
budget_tail_0.10,54,0.10005668934240362,0.06465234979987144,19.481033879257936,14.58159027184262
budget_tail_0.20,54,0.20011337868480725,0.13624774664640427,29.564971615510437,23.537790438885427
budget_tail_0.30,54,0.2998866213151927,0.20981847494840622,38.267768090196896,32.10190637280462
budget_tail_0.40,54,0.39994331065759636,0.28765639662742615,46.03826311641305,40.28928595925647
budget_tail_0.50,54,0.5,0.3691973090171814,53.41614906832298,48.02314608221103
full_k8,54,0.0,0.0,0.0,0.0
random_k1,54,0.875,0.7769403159618378,77.53537160513905,66.97518610421837
random_k2,54,0.75,0.6664733290672302,66.4450364878953,58.40475152571926
random_k4,54,0.5,0.44294916093349457,43.7694099378882,37.771282518473534
random_k6,54,0.25,0.22217276692390442,22.373587562000793,19.147184032381887
semantic_k1,54,0.875,0.7183674275875092,75.28015697617181,65.98847594353212
semantic_k2,54,0.75,0.5923625230789185,62.56362760157826,55.901268115942024
semantic_k4,54,0.5,0.3697023093700409,40.194255810088464,33.777125665811795
semantic_k6,54,0.25,0.17665237933397293,18.5502985313232,14.007973217038902
tail_k1,54,0.875,0.7188708484172821,77.09770719804165,67.26550868486353
tail_k2,54,0.75,0.5935092568397522,66.29137580231503,58.88004211357505
tail_k4,54,0.5,0.3715165853500366,46.21958672848567,41.99842411962837
tail_k6,54,0.25,0.17918574064970016,28.088918742284505,21.11463763079655
