per_tp_M,prompt_length,layer,samples,expert_critical_median_ms,expert_rank_spread_median_ms,rank_max_mean_median,load_balance_tail_oracle_median_ms,dispatch_critical_median_ms,combine_critical_median_ms,moe_critical_median_ms
128,256,0,6,0.47519999742507935,0.00899999588727951,1.3046875,0.11097951564724273,0.1733279973268509,0.04854400083422661,1.3149120211601257
128,256,1,6,0.46484799683094025,0.0022879987955093384,1.30078125,0.10855965247918001,0.13886399939656258,0.047919999808073044,1.2329440116882324
128,256,2,6,0.477743998169899,0.00812799483537674,1.796875,0.21220616776665618,0.14078399911522865,0.049216000363230705,1.2605279684066772
128,256,3,6,0.46006400883197784,0.010063998401165009,1.279296875,0.10208107186849356,0.1387999951839447,0.04766399972140789,1.251263976097107
128,256,4,6,0.44843199849128723,0.006999999284744263,1.263671875,0.09626226362285263,0.14846400171518326,0.05318399891257286,1.2240960001945496
128,256,5,6,0.4803040027618408,0.006280004978179932,1.513671875,0.16340239269217266,0.14903999865055084,0.049696000292897224,1.2567200064659119
128,256,6,6,0.46007999777793884,0.0065760016441345215,1.36328125,0.12255711552035603,0.12276799976825714,0.04779200069606304,1.2129279971122742
128,256,7,6,0.4561920017004013,0.004887998104095459,1.39453125,0.12889732111496305,0.1119839996099472,0.04822399839758873,1.2054240107536316
128,256,8,6,0.47364799678325653,0.008471988141536713,1.23046875,0.08869029564006112,0.13619200140237808,0.049584001302719116,1.2793920040130615
128,256,9,6,0.4612800031900406,0.006487995386123657,1.240234375,0.08995214474453828,0.15588799864053726,0.047647999599575996,1.2316319942474365
128,256,10,6,0.45348799228668213,0.003175988793373108,1.1953125,0.07454141934726308,0.15436800569295883,0.04668799974024296,1.2293919920921326
128,256,11,6,0.46038399636745453,0.004960000514984131,1.619140625,0.17604385543120044,0.12017600238323212,0.04774399846792221,1.203552007675171
128,256,12,6,0.46454399824142456,0.008128002285957336,1.40234375,0.13358704606407534,0.10812800005078316,0.04724800027906895,1.1838560104370117
128,256,13,6,0.466496005654335,0.009376004338264465,1.462890625,0.1482689380645752,0.10635200142860413,0.04947200044989586,1.2069759964942932
128,256,14,6,0.45905598998069763,0.003904007375240326,1.228515625,0.08522715277330184,0.1719999983906746,0.04612800106406212,1.2479199767112732
128,256,15,6,0.4641599953174591,0.007807999849319458,1.361328125,0.12323596627109135,0.1546880006790161,0.04766399972140789,1.2455679774284363
128,256,16,6,0.4503840059041977,0.003488004207611084,1.265625,0.0948156634121459,0.1366880014538765,0.04678400047123432,1.225327968597412
128,256,17,6,0.4774879962205887,0.006736002862453461,1.6953125,0.19532673435155734,0.14230399951338768,0.04654400050640106,1.2084479928016663
128,256,18,6,0.46425600349903107,0.0069519951939582825,1.376953125,0.12568393708794612,0.13283199816942215,0.048576001077890396,1.2321919798851013
128,256,19,6,0.45659199357032776,0.004079997539520264,1.28125,0.09913284345867522,0.15043200552463531,0.04702400043606758,1.2192479968070984
128,256,20,6,0.4631199985742569,0.004992000758647919,1.337890625,0.11742468188943156,0.1467519998550415,0.04854399897158146,1.2215359807014465
128,256,21,6,0.45369599759578705,0.006247997283935547,1.291015625,0.10174544177971803,0.15031999349594116,0.04716799966990948,1.2278879880905151
128,256,22,6,0.4634079933166504,0.007735997438430786,1.21484375,0.0818280196128717,0.10678400099277496,0.04662400111556053,1.2145599722862244
128,256,23,6,0.4596800059080124,0.0018400028347969055,1.541015625,0.1635809749955582,0.10862399637699127,0.04779199883341789,1.1962400078773499
128,256,24,6,0.47807998955249786,0.00443200021982193,1.099609375,0.04374343362166267,0.16742400079965591,0.04886400140821934,1.2166079878807068
128,256,25,6,0.49052801728248596,0.004896000027656555,1.4921875,0.16547831977025057,0.14369599893689156,0.060944000259041786,1.3141759634017944
128,256,26,6,0.483024001121521,0.007920004427433014,1.396484375,0.14045002966216114,0.2061760053038597,0.0471039991825819,1.3278080224990845
128,256,27,6,0.47038400173187256,0.006736002862453461,1.2734375,0.10164643860444789,0.11524799838662148,0.046191999688744545,1.2167519927024841
128,256,28,6,0.4614560008049011,0.0045279935002326965,1.375,0.12362811870581418,0.13008000329136848,0.04795200005173683,1.2393279671669006
128,256,29,6,0.4676800072193146,0.004719994962215424,1.55078125,0.16500641783179365,0.14497600495815277,0.04867199994623661,1.2482560276985168
128,256,30,6,0.46110399067401886,0.007927998900413513,1.216796875,0.08248348397673202,0.1446719989180565,0.045504000037908554,1.2101759910583496
128,256,31,6,0.46532800793647766,0.005416005849838257,1.13671875,0.05596728617792687,0.149679996073246,0.047808000817894936,1.2404000163078308
128,256,32,6,0.4688799977302551,0.010736003518104553,1.40625,0.13449019790185732,0.10412800312042236,0.047520000487565994,1.1835359930992126
128,256,33,6,0.4954719990491867,0.014256007969379425,1.42578125,0.147970822945786,0.16711999475955963,0.048208000138401985,1.2428320050239563
128,256,34,6,0.47361598908901215,0.011087998747825623,1.45703125,0.14844894249095902,0.18486399948596954,0.048496000468730927,1.2965759634971619
128,256,35,6,0.46960000693798065,0.0040719956159591675,1.83203125,0.21247704131628878,0.14824000000953674,0.04756799899041653,1.2375360131263733
128,256,36,6,0.4764479994773865,0.0028239935636520386,1.119140625,0.05356368030643792,0.14860799908638,0.04968000017106533,1.248528003692627
128,256,37,6,0.46513599157333374,0.003111995756626129,1.546875,0.16333877462513596,0.1674719974398613,0.046032000333070755,1.2301759719848633
128,256,38,6,0.464368000626564,0.009976007044315338,1.31640625,0.11369482021240358,0.16576000303030014,0.052480001002550125,1.2394239902496338
128,256,39,6,0.4726080000400543,0.009968005120754242,1.23828125,0.08975167684012691,0.14035200327634811,0.047280000522732735,1.2396960258483887
128,256,40,6,0.46961599588394165,0.012240000069141388,1.279296875,0.10287158140633262,0.14551999792456627,0.046512000262737274,1.209887981414795
128,256,41,6,0.4833119958639145,0.01610400527715683,1.626953125,0.18272150183953756,0.14963199943304062,0.047520000487565994,1.2225760221481323
128,256,42,6,0.4740000069141388,0.00840800255537033,1.1015625,0.04380459477244249,0.14713599905371666,0.04811199940741062,1.2724640369415283
128,256,43,6,0.46478399634361267,0.002200007438659668,1.265625,0.09719045609070945,0.11992000043392181,0.04771200008690357,1.1953279972076416
128,256,44,6,0.45265600085258484,0.0020560026168823242,1.376953125,0.12429228118140662,0.12355200201272964,0.044784000143408775,1.2109280228614807
128,256,45,6,0.4570079892873764,0.0032799914479255676,1.501953125,0.15046017286243515,0.12521599978208542,0.0510879997164011,1.2128159999847412
128,256,46,6,0.48633600771427155,0.006664000451564789,1.14453125,0.061242062201614655,0.09907199814915657,0.048815999180078506,1.2018400430679321
128,256,47,6,0.45556800067424774,0.003831997513771057,1.212890625,0.08035931864809587,0.12331200391054153,0.04655999876558781,1.2160000205039978
1024,2048,0,6,0.6942079961299896,0.020319998264312744,1.280029296875,0.1518807055804538,0.133760005235672,0.0031999999191612005,1.4513440132141113
1024,2048,1,6,0.7044160068035126,0.020991995930671692,1.27294921875,0.15103819360781368,0.14740800112485886,0.0031999999191612005,1.4474080204963684
1024,2048,2,6,0.7201599776744843,0.04501599073410034,1.8076171875,0.3218362032743654,0.16232000291347504,0.0031999999191612005,1.51174396276474
1024,2048,3,6,0.6948000192642212,0.017184004187583923,1.2138671875,0.12243116053296464,0.11902399733662605,0.0033279999624937773,1.444976031780243
1024,2048,4,6,0.7258560061454773,0.05676001310348511,1.318603515625,0.17537960128710905,0.12492799758911133,0.0031999999191612005,1.4314239621162415
1024,2048,5,6,0.7258400022983551,0.06392799317836761,1.46728515625,0.2327984352313464,0.18531200289726257,0.015696000191383064,1.4733920097351074
1024,2048,6,6,0.7166879773139954,0.03109601140022278,1.42626953125,0.21410643025848308,0.10336000099778175,0.0032319999299943447,1.4385600090026855
1024,2048,7,6,0.7038399875164032,0.020496010780334473,1.3212890625,0.1711631311994426,0.19523199647665024,0.0032159999245777726,1.4948479533195496
1024,2048,8,6,0.7200959920883179,0.030368000268936157,1.2802734375,0.15767451108925118,0.16494400054216385,0.0031999999191612005,1.497327983379364
1024,2048,9,6,0.7222239971160889,0.028391987085342407,1.5078125,0.243301753992637,0.15600000321865082,0.0031839999137446284,1.4970239996910095
1024,2048,10,6,0.7024159729480743,0.028095990419387817,1.4921875,0.23167613073123372,0.1369599997997284,0.0032319999299943447,1.4358720183372498
1024,2048,11,6,0.71806401014328,0.02333599328994751,1.209228515625,0.12424415622314217,0.16465599834918976,0.0031839999137446284,1.4760640263557434
1024,2048,12,6,0.6963360011577606,0.011047989130020142,1.39501953125,0.19724703638045998,0.17211200296878815,0.0031999999191612005,1.477952003479004
