source,sample,layer,tokens,renormalized,policy,reps,moe_median_ms,moe_p90_ms,moe_gain_pct,expert_gain_pct,worst_rel_l2_median,worst_cosine_median,assignment_drop_fraction,router_mass_drop_fraction,moe_share_of_clean_ttft_observer_assisted,projected_ttft_gain_pct,strict_local_quality_pass
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_semantic_0.2,30,3.945888042449951,3.9661025047302245,7.704915226174414,10.545005786476192,0.18959616124629974,0.981908917427063,0.1773223876953125,0.11294776201248169,0.6219106193174727,4.791768600098755,False
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_tail_0.1,30,3.942799925804138,3.9623809099197387,7.777146872017015,11.173823560713391,0.13544777035713196,0.9908057451248169,0.088653564453125,0.0534706711769104,0.6219106193174727,4.836690227699048,False
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_random_0.1,30,4.115056037902832,4.137663841247559,3.748043081457497,5.249751515947565,0.19463349878787994,0.9808965921401978,0.088653564453125,0.07913211733102798,0.6219106193174727,2.330947794017801,False
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_semantic_0.1,30,4.120352029800415,4.131155252456665,3.6241688062904287,5.054724613885964,0.12408594787120819,0.9922889471054077,0.088653564453125,0.048566363751888275,0.6219106193174727,2.253909066831146,False
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_tail_0.2,30,3.7372000217437744,3.751801633834839,12.586168408005605,17.510991398640808,0.19693374633789062,0.980468213558197,0.1773223876953125,0.1187901720404625,0.6219106193174727,7.827471789456776,False
replay_budget_camera_l24_M8192_preserve_20260911_0120.jsonl,camera_e448,24,8192,False,budget_random_0.2,30,3.908527970314026,3.9216447830200196,8.57877454195991,11.452176776660428,0.27713170647621155,0.960917592048645,0.1773223876953125,0.15827351808547974,0.6219106193174727,5.3352309883752564,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_tail_0.4,30,3.2757760286331177,3.2908448934555055,23.209984713647913,30.51125982719004,0.6067913770675659,0.9285216927528381,0.354644775390625,0.2636985182762146,0.6219106193174727,14.434535967613847,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.5,30,3.3586560487747192,3.3871488332748414,21.26712965946327,27.147583986593094,0.7205803394317627,0.9105429649353027,0.44329833984375,0.339649498462677,0.6219106193174727,13.226253777621794,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.3,30,3.7344640493392944,3.7456127405166626,12.457521842616014,16.522841849391,0.4716920852661133,0.9516561031341553,0.2659759521484375,0.18413083255290985,0.6219106193174727,7.747465124302269,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.4,30,3.5479999780654907,3.554784083366394,16.82857125451539,21.646075000692477,0.588473379611969,0.9327852129936218,0.354644775390625,0.2599485218524933,0.6219106193174727,10.465867171123884,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_random_0.3,30,3.6931999921798706,3.7116831302642823,13.424824720575979,17.829654949466267,0.49118220806121826,0.9197959899902344,0.2659759521484375,0.23746928572654724,0.6219106193174727,8.349041056201925,False
replay_budget_camera_l24_M8192_renorm_20260911_0100.jsonl,camera_e448,24,8192,True,budget_semantic_0.2,30,3.9419519901275635,3.9531775951385497,7.593635543431743,10.596959340456047,0.37542957067489624,0.9660756587982178,0.1773223876953125,0.11294776201248169,0.6219106193174727,4.722562583686809,False
