source_layer,target_layer,distance,model,r2,jsd,top1,topk
0,16,16,visual,0.8904617080436801,0.08174985634625688,0.8125,0.8411458333333334
0,16,16,mean,0.8771541967934612,0.0904900567300372,0.9166666666666666,0.8541666666666666
0,16,16,early_text,0.8420532643469638,0.10674805807734256,0.6875,0.8203125
0,16,16,shuffle,0.7777741019020342,0.13406507944889376,0.8145833333333332,0.7859375
0,20,20,visual,0.9239213384383633,0.09366739863926178,0.8958333333333334,0.9088541666666666
0,20,20,mean,0.9239437396580253,0.0965280885623583,0.9166666666666666,0.9244791666666666
0,20,20,early_text,0.8966096157216114,0.11521563754235901,0.7916666666666666,0.8854166666666666
0,20,20,shuffle,0.8657726666369306,0.13633247342842408,0.8375,0.8763020833333333
0,24,24,visual,0.9335622352977486,0.07590514860067171,0.625,0.9166666666666666
0,24,24,mean,0.9374983077617328,0.07750018185228336,0.7916666666666666,0.9479166666666666
0,24,24,early_text,0.8999394667039974,0.10129132222046548,0.5416666666666666,0.8984375
0,24,24,shuffle,0.884279013764559,0.11345227560251984,0.55,0.8958333333333333
0,28,28,visual,0.874415802802326,0.09797948543294177,0.5,0.9322916666666666
0,28,28,mean,0.8640280359355639,0.10344072323025653,0.6041666666666666,0.9166666666666666
0,28,28,early_text,0.8341890858202717,0.11269574483261162,0.4375,0.9010416666666666
0,28,28,shuffle,0.7583677387513607,0.14931389523361394,0.45833333333333337,0.8731770833333334
0,32,32,visual,0.8867131360933791,0.10436875500424052,0.6458333333333334,0.8645833333333334
0,32,32,mean,0.8924117723661935,0.10413663327966094,0.3333333333333333,0.8671875
0,32,32,early_text,0.8338959568310716,0.1368214768282824,0.4375,0.8463541666666666
0,32,32,shuffle,0.8111155374889583,0.14773368580865415,0.4020833333333333,0.828125
0,36,36,visual,0.9113470496962774,0.09138721035047224,0.2916666666666667,0.84375
0,36,36,mean,0.9189463824289406,0.0893980196427499,0.125,0.8802083333333334
0,36,36,early_text,0.8694525642101699,0.11976808868228717,0.2708333333333333,0.8125
0,36,36,shuffle,0.855397896487375,0.1310072252083887,0.26458333333333334,0.7921875
0,40,40,visual,0.9097453749602706,0.0789762018495397,0.7708333333333334,0.9192708333333334
0,40,40,mean,0.9194314381270903,0.08018224361928505,0.8125,0.9401041666666666
0,40,40,early_text,0.8770364527864081,0.10155558442845887,0.75,0.9010416666666666
0,40,40,shuffle,0.8562588666914633,0.11650707515466788,0.7229166666666667,0.91171875
0,44,44,visual,0.8574761045134388,0.11167881503458195,0.5416666666666666,0.8463541666666666
0,44,44,mean,0.8713304164641062,0.10788447931782082,0.2708333333333333,0.8541666666666666
0,44,44,early_text,0.7855833648626755,0.14385763260246676,0.4583333333333333,0.7942708333333334
0,44,44,shuffle,0.7748104902167066,0.15543393404379563,0.4395833333333334,0.8015625
0,47,47,visual,0.894028072221277,0.07214150369627578,0.4583333333333333,0.84375
0,47,47,mean,0.918798368542146,0.05931455324649523,0.6041666666666666,0.8489583333333334
0,47,47,early_text,0.8564803162333389,0.08708086629908497,0.375,0.8125
0,47,47,shuffle,0.8466744747692465,0.088495626844174,0.3979166666666667,0.8145833333333332
4,16,12,visual,0.9056679810337362,0.0746447323992857,0.875,0.8541666666666666
