distance,early_text,mean,shuffle,visual
4,0.8787858396709481,0.8771541967934612,0.771385464532705,0.8914743133155223
8,0.8942608893737851,0.9005489682257433,0.8143729176309453,0.9180703153246652
12,0.897562332709736,0.9128654147377397,0.8409563382151991,0.9235308798611479
16,0.8827744871318712,0.9006560700371958,0.8193609821000215,0.9108378230076668
20,0.887856686736539,0.9044704639303789,0.8262320417384275,0.9121418216959752
24,0.8745353224378887,0.9032211246231077,0.8223783453314872,0.9096184356296863
28,0.8672540170864567,0.898704407214447,0.8175734726322613,0.8993226889197699
32,0.8623540317867432,0.9005300023465826,0.8197303993397667,0.8953994221011231
35,0.8808946322122736,0.918798368542146,0.8402643122625755,0.8967418985105897
36,0.8588778714577702,0.9032360790067123,0.8245834559107829,0.8976321574624965
39,0.8791081385552264,0.918798368542146,0.836244592029334,0.8995526183702062
40,0.8324351853171088,0.8953809272955983,0.8175844226418746,0.8908201019933291
43,0.8589812770611288,0.918798368542146,0.8478072463072331,0.8970353198098299
44,0.7855833648626755,0.8713304164641062,0.7748104902167066,0.8574761045134388
47,0.8564803162333389,0.918798368542146,0.8466744747692465,0.894028072221277
