case_id,M,active_experts_per_rank,ranks,rank_wall_median,critical_wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness,expert_ms_per_assignment,fragmentation_ratio
balanced_rank_A16_M1024,1024,16,4,1.8110560178756714,1.8149759769439697,0.029920000582933426,0.2831999883055687,0.8245120048522949,0.8659839630126953,True,0.00020129687618464231,0.015625
balanced_rank_A16_M128,128,16,4,2.432815909385681,2.461855888366699,0.026655999943614006,0.18678400479257107,1.1040000915527344,0.39046406745910645,True,0.0002695312723517418,0.015625
balanced_rank_A16_M512,512,16,4,1.7688480019569397,1.7850559949874878,0.027583999559283257,0.22492800652980804,0.8338879942893982,0.9826239347457886,True,0.0002035859361058101,0.015625
balanced_rank_A1_M1024,1024,1,4,1.8002399802207947,1.8059519529342651,0.027295999228954315,0.2801280040293932,0.833407998085022,0.8616959452629089,True,0.00020346874953247607,0.0009765625
balanced_rank_A1_M128,128,1,4,2.0439040660858154,2.0611519813537598,0.030912000685930252,0.20307199843227863,1.0129600167274475,0.1793278455734253,True,0.0002473046915838495,0.0009765625
balanced_rank_A1_M512,512,1,4,1.7397760152816772,1.7577919960021973,0.026784000918269157,0.23289600480347872,0.8289279937744141,0.9514879584312439,True,0.00020237499848008156,0.0009765625
balanced_rank_A2_M1024,1024,2,4,1.803600013256073,1.8252480030059814,0.026847999542951584,0.2834559930488467,0.8219520449638367,0.8610879778862,True,0.0002006718859774992,0.001953125
balanced_rank_A2_M128,128,2,4,2.041759967803955,2.0585920810699463,0.028416000306606293,0.2001920035108924,0.9968640208244324,0.18307209014892578,True,0.00024337500508408993,0.001953125
balanced_rank_A2_M512,512,2,4,1.7652480006217957,1.779647946357727,0.02675200067460537,0.21820800006389618,0.8326079845428467,0.9865279793739319,True,0.00020327343372628093,0.001953125
balanced_rank_A4_M1024,1024,4,4,1.8067839741706848,1.8342399597167969,0.0289280004799366,0.2734720092266798,0.8351680040359497,0.89084792137146,True,0.00020389843848533928,0.00390625
balanced_rank_A4_M128,128,4,4,2.002287983894348,2.0120959281921387,0.02691200003027916,0.1862720064818859,0.9463040232658386,0.17808008193969727,True,0.00023103125568013638,0.00390625
balanced_rank_A4_M512,512,4,4,1.7647199630737305,1.7672959566116333,0.0261439997702837,0.22588800638914108,0.8200640082359314,0.9780799746513367,True,0.00020021093951072544,0.00390625
balanced_rank_A8_M1024,1024,8,4,1.8046559691429138,1.8171839714050293,0.027488000690937042,0.27696001157164574,0.8389119505882263,0.8927680253982544,True,0.0002048124879365787,0.0078125
balanced_rank_A8_M128,128,8,4,2.646880030632019,2.658207893371582,0.026976000517606735,0.1808640006929636,0.987104058265686,0.4361598491668701,True,0.000240992201725021,0.0078125
balanced_rank_A8_M512,512,8,4,1.7674559950828552,1.7740479707717896,0.02848000079393387,0.22303999867290258,0.833184003829956,0.9853120446205139,True,0.00020341406343504786,0.0078125
