case_id,rank,M,active_experts_per_rank,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,iterations,warmups,correctness
balanced_rank_A1_M128,0,128,1,2.036799907684326,0.030592000111937523,0.18803200777620077,0.9503359794616699,0.14982390403747559,5,1,True
balanced_rank_A2_M128,0,128,2,2.038975954055786,0.026176000013947487,0.2001920035108924,0.883840024471283,0.18307209014892578,5,1,True
balanced_rank_A4_M128,0,128,4,2.003135919570923,0.026464000344276428,0.16342400386929512,0.9131839871406555,0.12028801441192627,5,1,True
balanced_rank_A8_M128,0,128,8,2.6462719440460205,0.026623999699950218,0.16819199826568365,0.8587520122528076,0.39935994148254395,5,1,True
balanced_rank_A16_M128,0,128,16,2.431999921798706,0.025439999997615814,0.16431999951601028,0.9349759817123413,0.32294392585754395,5,1,True
balanced_rank_A1_M512,0,512,1,1.7424319982528687,0.02534399926662445,0.2226239973679185,0.4519679844379425,0.9514879584312439,5,1,True
balanced_rank_A2_M512,0,512,2,1.766592025756836,0.025248000398278236,0.21391999814659357,0.4490559995174408,0.9865279793739319,5,1,True
balanced_rank_A4_M512,0,512,4,1.7672959566116333,0.025696000084280968,0.22588800638914108,0.4545920193195343,0.9780799746513367,5,1,True
balanced_rank_A8_M512,0,512,8,1.7740479707717896,0.027424000203609467,0.22108800057321787,0.45766398310661316,0.9853120446205139,5,1,True
balanced_rank_A16_M512,0,512,16,1.7850559949874878,0.026623999699950218,0.22492800652980804,0.47836801409721375,0.9826239347457886,5,1,True
balanced_rank_A1_M1024,0,1024,1,1.804479956626892,0.027295999228954315,0.2765439944341779,0.6097919940948486,0.8616959452629089,5,1,True
balanced_rank_A2_M1024,0,1024,2,1.8070720434188843,0.025248000398278236,0.2684479970484972,0.6109439730644226,0.8610879778862,5,1,True
balanced_rank_A4_M1024,0,1024,4,1.8125439882278442,0.02812799997627735,0.2734720092266798,0.6058240234851837,0.89084792137146,5,1,True
balanced_rank_A8_M1024,0,1024,8,1.8111679553985596,0.027488000690937042,0.27696001157164574,0.6008320152759552,0.8927680253982544,5,1,True
balanced_rank_A16_M1024,0,1024,16,1.8125120401382446,0.02800000086426735,0.2710080072283745,0.6159679889678955,0.8659839630126953,5,1,True
balanced_rank_A1_M128,1,128,1,2.0405120849609375,0.029920000582933426,0.18841599766165018,0.927232027053833,0.1793278455734253,5,1,True
balanced_rank_A2_M128,1,128,2,2.0128960609436035,0.026367999613285065,0.17593600694090128,0.9968640208244324,0.09427213668823242,5,1,True
balanced_rank_A4_M128,1,128,4,2.0014400482177734,0.025728000327944756,0.16409599781036377,0.8595200181007385,0.11094403266906738,5,1,True
balanced_rank_A8_M128,1,128,8,2.642848014831543,0.024800000712275505,0.16665599774569273,0.8318400382995605,0.12256002426147461,5,1,True
balanced_rank_A16_M128,1,128,16,2.4336318969726562,0.026655999943614006,0.17286400217562914,0.7850880026817322,0.39046406745910645,5,1,True
balanced_rank_A1_M512,1,512,1,1.7371200323104858,0.02505600079894066,0.21398400235921144,0.8254079818725586,0.13753604888916016,5,1,True
balanced_rank_A2_M512,1,512,2,1.7639039754867554,0.023455999791622162,0.2007359964773059,0.8269439935684204,0.11564803123474121,5,1,True
balanced_rank_A4_M512,1,512,4,1.7544959783554077,0.025407999753952026,0.2019839957356453,0.8175040483474731,0.11267197132110596,5,1,True
balanced_rank_A8_M512,1,512,8,1.7636799812316895,0.02800000086426735,0.20438399724662304,0.833184003829956,0.15833592414855957,5,1,True
balanced_rank_A16_M512,1,512,16,1.7554880380630493,0.02751999907195568,0.20108799822628498,0.8338879942893982,0.11388802528381348,5,1,True
balanced_rank_A1_M1024,1,1024,1,1.789504051208496,0.026528000831604004,0.2586239855736494,0.769279956817627,0.20806396007537842,5,1,True
balanced_rank_A2_M1024,1,1024,2,1.7944960594177246,0.02537599951028824,0.25340799801051617,0.7615359425544739,0.20217597484588623,5,1,True
balanced_rank_A4_M1024,1,1024,4,1.7921279668807983,0.02675200067460537,0.25583999417722225,0.7938880324363708,0.15328001976013184,5,1,True
balanced_rank_A8_M1024,1,1024,8,1.798143982887268,0.024320000782608986,0.24988799914717674,0.7582079768180847,0.20182406902313232,5,1,True
balanced_rank_A16_M1024,1,1024,16,1.8014400005340576,0.02768000029027462,0.24969601072371006,0.763808012008667,0.2014080286026001,5,1,True
balanced_rank_A1_M128,2,128,1,2.0472960472106934,0.029888000339269638,0.1877440046519041,0.9578240513801575,0.14924800395965576,5,1,True
balanced_rank_A2_M128,2,128,2,2.044543981552124,0.028416000306606293,0.17926399316638708,0.9616959691047668,0.1271679401397705,5,1,True
balanced_rank_A4_M128,2,128,4,2.0002241134643555,0.02659199945628643,0.16377599351108074,0.8585920333862305,0.17808008193969727,5,1,True
balanced_rank_A8_M128,2,128,8,2.6474881172180176,0.02598400041460991,0.16553599387407303,0.987104058265686,0.08611190319061279,5,1,True
balanced_rank_A16_M128,2,128,16,2.4296960830688477,0.024927999824285507,0.17264000046998262,1.1040000915527344,0.21084809303283691,5,1,True
balanced_rank_A1_M512,2,512,1,1.7326079607009888,0.026784000918269157,0.21171199902892113,0.8289279937744141,0.1371840238571167,5,1,True
balanced_rank_A2_M512,2,512,2,1.7551360130310059,0.025760000571608543,0.2009919947013259,0.8326079845428467,0.1722240447998047,5,1,True
balanced_rank_A4_M512,2,512,4,1.7630399465560913,0.02566399984061718,0.2028160048648715,0.8200640082359314,0.1743999719619751,5,1,True
balanced_rank_A8_M512,2,512,8,1.7580480575561523,0.02812799997627735,0.21385600697249174,0.8214399814605713,0.11174392700195312,5,1,True
balanced_rank_A16_M512,2,512,16,1.760864019393921,0.027583999559283257,0.20070400461554527,0.8116479516029358,0.14240002632141113,5,1,True
balanced_rank_A1_M1024,2,1024,1,1.7960000038146973,0.025919999927282333,0.266336003318429,0.8006079792976379,0.18083202838897705,5,1,True
balanced_rank_A2_M1024,2,1024,2,1.8001279830932617,0.02534399926662445,0.2633600002154708,0.8209919929504395,0.17932796478271484,5,1,True
balanced_rank_A4_M1024,2,1024,4,1.8010239601135254,0.02723200060427189,0.2640000004321337,0.8299199938774109,0.18867206573486328,5,1,True
balanced_rank_A8_M1024,2,1024,8,1.7973120212554932,0.026528000831604004,0.2751679876819253,0.8389119505882263,0.1446399688720703,5,1,True
balanced_rank_A16_M1024,2,1024,16,1.8095999956130981,0.028192000463604927,0.25977600552141666,0.8190080523490906,0.17577600479125977,5,1,True
balanced_rank_A1_M128,3,128,1,2.0611519813537598,0.030912000685930252,0.20307199843227863,1.0129600167274475,0.13340795040130615,5,1,True
balanced_rank_A2_M128,3,128,2,2.0585920810699463,0.028416000306606293,0.19439999759197235,0.9403199553489685,0.14812803268432617,5,1,True
balanced_rank_A4_M128,3,128,4,2.0120959281921387,0.02691200003027916,0.1862720064818859,0.9463040232658386,0.1411839723587036,5,1,True
balanced_rank_A8_M128,3,128,8,2.658207893371582,0.026976000517606735,0.1808640006929636,0.7801600098609924,0.4361598491668701,5,1,True
balanced_rank_A16_M128,3,128,16,2.461855888366699,0.02579200081527233,0.18678400479257107,0.850335955619812,0.35193610191345215,5,1,True
balanced_rank_A1_M512,3,512,1,1.7577919960021973,0.025760000571608543,0.23289600480347872,0.7700480818748474,0.17219197750091553,5,1,True
balanced_rank_A2_M512,3,512,2,1.779647946357727,0.02675200067460537,0.21820800006389618,0.7656320333480835,0.18054401874542236,5,1,True
balanced_rank_A4_M512,3,512,4,1.7663999795913696,0.0261439997702837,0.21849600411951542,0.7507519721984863,0.17219197750091553,5,1,True
balanced_rank_A8_M512,3,512,8,1.771232008934021,0.02848000079393387,0.22303999867290258,0.7935680150985718,0.1444159746170044,5,1,True
balanced_rank_A16_M512,3,512,16,1.7768319845199585,0.026976000517606735,0.21977599896490574,0.833728015422821,0.14665591716766357,5,1,True
balanced_rank_A1_M1024,3,1024,1,1.8059519529342651,0.027264000847935677,0.2801280040293932,0.833407998085022,0.1785600185394287,5,1,True
balanced_rank_A2_M1024,3,1024,2,1.8252480030059814,0.026847999542951584,0.2834559930488467,0.8219520449638367,0.1617279052734375,5,1,True
balanced_rank_A4_M1024,3,1024,4,1.8342399597167969,0.0289280004799366,0.2715840069577098,0.8351680040359497,0.20819199085235596,5,1,True
balanced_rank_A8_M1024,3,1024,8,1.8171839714050293,0.02518399991095066,0.2683840012177825,0.8107199668884277,0.17964792251586914,5,1,True
balanced_rank_A16_M1024,3,1024,16,1.8149759769439697,0.029920000582933426,0.2831999883055687,0.8245120048522949,0.17840003967285156,5,1,True
