sample_id,category,edge,layer,policy,risk_kind,target_fraction,vision_tokens,dropped,vision_assignment_reduction,risk_value,swaps,max_rank_before,max_rank_after,max_rank_reduction,rank_cv_after,k1,k2,k3,k4,k5,k6,k7,k8,combined_rel_l2,vision_rel_l2,combined_cosine,renorm_combined_rel_l2,renorm_vision_rel_l2,ep_advantage_over_semantic
camera_e448,natural,448,4,semantic_full,router,0.05,196,78,0.04974489795918367,6.65801165252924,0,485,459,0.053608247422680444,0.09198091148791974,0,1,4,2,3,11,13,162,0.1374095380306244,0.14321817457675934,0.9905193448066711,0.24394115805625916,0.2542531490325928,
camera_e448,natural,448,4,semantic_coarse,router,0.05,196,78,0.04974489795918367,6.707013361155987,0,485,460,0.05154639175257736,0.09266355316380331,0,1,0,8,0,20,0,167,0.13953043520450592,0.14542871713638306,0.9902229309082031,0.2365347295999527,0.2465336173772812,
camera_e448,natural,448,4,ep_refined_s0.02,router,0.05,196,78,0.04974489795918367,6.789046563208103,21,485,447,0.07835051546391758,0.07150710693500968,0,0,3,2,3,13,20,155,0.13888847827911377,0.1447596251964569,0.9903140068054199,0.2135925143957138,0.22262157499790192,1.4615384615384617
camera_e448,natural,448,4,ep_refined_s0.05,router,0.05,196,78,0.04974489795918367,6.809108480811119,22,485,447,0.07835051546391758,0.0710552097149258,0,0,3,2,3,14,18,156,0.13923846185207367,0.1451243907213211,0.9902648329734802,0.2142416089773178,0.2232981026172638,1.4615384615384617
camera_e448,natural,448,4,semantic_full,router,0.1,196,157,0.10012755102040816,14.22000776976347,0,485,439,0.09484536082474226,0.10171492702937115,0,2,4,5,15,17,26,127,0.20126664638519287,0.2097746580839157,0.9795572757720947,0.3403812050819397,0.35476991534233093,
camera_e448,natural,448,4,semantic_coarse,router,0.1,196,156,0.09948979591836735,14.261544793844223,0,485,438,0.09690721649484535,0.09889824011602796,0,3,0,14,0,41,0,138,0.20354369282722473,0.21214796602725983,0.9790868759155273,0.34405043721199036,0.35859426856040955,
camera_e448,natural,448,4,ep_refined_s0.02,router,0.1,196,157,0.10012755102040816,14.49150763452053,36,485,421,0.1319587628865979,0.06345756210066854,0,1,6,4,14,19,25,127,0.20735761523246765,0.21612311899662018,0.9782906770706177,0.3285914957523346,0.3424818515777588,1.3913043478260867
camera_e448,natural,448,4,ep_refined_s0.05,router,0.1,196,157,0.10012755102040816,14.553625762462616,39,485,419,0.13608247422680408,0.060268615252887375,0,1,6,4,12,21,27,125,0.20811466872692108,0.2169121652841568,0.9781293272972107,0.32770052552223206,0.3415532112121582,1.4347826086956519
camera_e448,natural,448,4,semantic_full,router,0.15,196,235,0.14987244897959184,22.145894415676594,0,485,427,0.1195876288659794,0.11698660035661293,1,2,7,11,21,28,18,108,0.25464385747909546,0.2654082775115967,0.9670873880386353,0.4480108320713043,0.46694934368133545,
camera_e448,natural,448,4,semantic_coarse,router,0.15,196,235,0.14987244897959184,22.26942903548479,0,485,425,0.12371134020618557,0.11368087064272894,1,5,0,24,0,51,0,115,0.2561042606830597,0.26693040132522583,0.9666974544525146,0.4653526246547699,0.48502418398857117,
camera_e448,natural,448,4,ep_refined_s0.02,router,0.15,196,235,0.14987244897959184,22.481439277529716,58,485,395,0.18556701030927836,0.05160720288667576,0,3,8,6,21,27,36,95,0.2598647475242615,0.2708498537540436,0.9656927585601807,0.41199198365211487,0.42940786480903625,1.5517241379310343
camera_e448,natural,448,4,ep_refined_s0.05,router,0.15,196,235,0.14987244897959184,22.481439277529716,58,485,395,0.18556701030927836,0.05160720288667576,0,3,8,6,21,27,36,95,0.2598647475242615,0.2708498537540436,0.9656927585601807,0.41199198365211487,0.42940786480903625,1.5517241379310343
