sample_id,category,edge,layer,policy,risk_kind,target_fraction,vision_tokens,dropped,vision_assignment_reduction,risk_value,swaps,max_rank_before,max_rank_after,max_rank_reduction,rank_cv_after,k1,k2,k3,k4,k5,k6,k7,k8,combined_rel_l2,vision_rel_l2,combined_cosine,renorm_combined_rel_l2,renorm_vision_rel_l2,ep_advantage_over_semantic
astronaut_e336,natural,336,4,semantic_full,router,0.02,100,16,0.02,1.2602792978286743,0,260,257,0.011538461538461497,0.038884403393717466,0,0,0,0,2,3,4,91,0.08809461444616318,0.09477808326482773,0.996114194393158,0.11179658025503159,0.12027823179960251,
astronaut_e336,natural,336,4,semantic_coarse,router,0.02,100,16,0.02,1.2701425924897194,0,260,257,0.011538461538461497,0.037034282842049994,0,0,0,1,0,6,0,93,0.0906599834561348,0.0975380688905716,0.9958840608596802,0.11833611875772476,0.12731391191482544,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.02,100,16,0.02,1.2803472056984901,5,260,254,0.023076923076923106,0.030555480443847375,0,0,0,2,1,1,3,93,0.09383009374141693,0.10094869136810303,0.99559086561203,0.13558748364448547,0.14587408304214478,2.0000000000000098
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.02,100,16,0.02,1.2803472056984901,5,260,254,0.023076923076923106,0.030555480443847375,0,0,0,2,1,1,3,93,0.09383009374141693,0.10094869136810303,0.99559086561203,0.13558748364448547,0.14587408304214478,2.0000000000000098
astronaut_e336,natural,336,4,semantic_full,router,0.05,100,40,0.05,3.3561927527189255,0,260,251,0.0346153846153846,0.04583333333333333,0,0,0,5,4,2,4,85,0.14345625042915344,0.15433983504772186,0.9896661043167114,0.20550327003002167,0.22109416127204895,
astronaut_e336,natural,336,4,semantic_coarse,router,0.05,100,40,0.05,3.375325582921505,0,260,252,0.03076923076923077,0.046022337571613586,0,0,0,7,0,6,0,87,0.14504213631153107,0.1560460329055786,0.9894372224807739,0.21795155107975006,0.23448684811592102,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.05,100,40,0.05,3.41775706410408,10,260,246,0.05384615384615388,0.025173012444988693,0,0,0,4,2,5,8,81,0.1473177969455719,0.15849433839321136,0.9891008734703064,0.20930267870426178,0.22518181800842285,1.555555555555557
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.05,100,40,0.05,3.523579455912113,16,260,243,0.06538461538461537,0.012842529172852033,0,0,0,4,2,6,6,82,0.15073038637638092,0.1621658354997635,0.9885850548744202,0.21237193048000336,0.2284839153289795,1.8888888888888893
astronaut_e336,natural,336,4,semantic_full,router,0.1,100,80,0.1,7.195384845137596,0,260,239,0.08076923076923082,0.0332544750886486,0,0,2,6,5,12,7,68,0.20864053070545197,0.22446942329406738,0.9780218005180359,0.2951359748840332,0.31752699613571167,
astronaut_e336,natural,336,4,semantic_coarse,router,0.1,100,80,0.1,7.238710135221481,0,260,239,0.08076923076923082,0.0391304347826087,0,0,0,10,0,20,0,70,0.20978239178657532,0.22569791972637177,0.9777804613113403,0.2877628207206726,0.30959445238113403,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.1,100,80,0.1,7.331881247460842,15,260,231,0.11153846153846159,0.0030743773095067285,0,0,1,6,7,9,12,65,0.20868545770645142,0.22451774775981903,0.978013813495636,0.2855956256389618,0.3072628676891327,1.3809523809523807
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.1,100,80,0.1,7.331881247460842,15,260,231,0.11153846153846159,0.0030743773095067285,0,0,1,6,7,9,12,65,0.20868545770645142,0.22451774775981903,0.978013813495636,0.2855956256389618,0.3072628676891327,1.3809523809523807
astronaut_e336,natural,336,4,semantic_full,router,0.15,100,120,0.15,11.236662700772285,0,260,227,0.12692307692307692,0.029632738205466587,0,0,2,9,12,13,12,52,0.2586473822593689,0.2782701253890991,0.9660329222679138,0.35563385486602783,0.38261470198631287,
astronaut_e336,natural,336,4,semantic_coarse,router,0.15,100,120,0.15,11.30781564116478,0,260,231,0.11153846153846159,0.03775738119508216,0,1,0,15,0,27,0,57,0.258030503988266,0.2776064872741699,0.9661970138549805,0.37284523248672485,0.40113183856010437,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.15,100,120,0.15,11.283036828041077,13,260,220,0.15384615384615385,0.0,0,1,1,9,10,15,13,51,0.258247435092926,0.27783986926078796,0.9661375284194946,0.3684751093387604,0.39643022418022156,1.2121212121212122
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.15,100,120,0.15,11.283036828041077,13,260,220,0.15384615384615385,0.0,0,1,1,9,10,15,13,51,0.258247435092926,0.27783986926078796,0.9661375284194946,0.3684751093387604,0.39643022418022156,1.2121212121212122
astronaut_e336,natural,336,4,semantic_full,router,0.2,100,160,0.2,15.414025940001011,0,260,219,0.1576923076923077,0.028769157079987076,0,1,2,13,12,20,16,36,0.2984760105609894,0.3211204707622528,0.954514741897583,0.4224065840244293,0.4544532299041748,
astronaut_e336,natural,336,4,semantic_coarse,router,0.2,100,160,0.2,15.511766083538532,0,260,219,0.1576923076923077,0.03316282923139076,0,1,0,21,0,35,0,43,0.30079230666160583,0.3236124515533447,0.9537861943244934,0.42349937558174133,0.455628901720047,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.2,100,160,0.2,15.44329958409071,13,260,210,0.1923076923076923,0.0,1,0,3,12,13,15,21,35,0.30343231558799744,0.32645276188850403,0.9529488682746887,0.4627210199832916,0.4978262186050415,1.2195121951219512
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.2,100,160,0.2,15.44329958409071,13,260,210,0.1923076923076923,0.0,1,0,3,12,13,15,21,35,0.30343231558799744,0.32645276188850403,0.9529488682746887,0.4627210199832916,0.4978262186050415,1.2195121951219512
astronaut_e336,natural,336,4,semantic_full,router,0.3,100,240,0.3,24.112953141331673,0,260,198,0.2384615384615385,0.025514104512717524,1,2,8,16,22,17,17,17,0.38105982542037964,0.40996962785720825,0.9247303605079651,0.5925615429878235,0.6375173926353455,
astronaut_e336,natural,336,4,semantic_coarse,router,0.3,100,239,0.29875,24.11743811517954,0,260,198,0.2384615384615385,0.027906387098022737,1,4,0,33,0,38,0,24,0.38161972165107727,0.41057202219963074,0.9244914650917053,0.5919356942176819,0.6368439793586731,
astronaut_e336,natural,336,4,ep_refined_s0.02,router,0.3,100,240,0.3,24.124222695827484,11,260,190,0.2692307692307693,0.0,1,2,8,13,24,19,19,14,0.38300731778144836,0.41206490993499756,0.9239417910575867,0.5905173420906067,0.6353179812431335,1.129032258064516
astronaut_e336,natural,336,4,ep_refined_s0.05,router,0.3,100,240,0.3,24.124222695827484,11,260,190,0.2692307692307693,0.0,1,2,8,13,24,19,19,14,0.38300731778144836,0.41206490993499756,0.9239417910575867,0.5905173420906067,0.6353179812431335,1.129032258064516
astronaut_e336,natural,336,4,semantic_full,contribution,0.02,100,16,0.02,2.501216356312869,0,260,257,0.011538461538461497,0.0407519058043972,0,0,0,2,0,3,2,93,0.09233026951551437,0.09933508932590485,0.9957308769226074,0.14095696806907654,0.15165092051029205,
astronaut_e336,natural,336,4,semantic_coarse,contribution,0.02,100,16,0.02,2.5029655172164214,0,260,256,0.01538461538461533,0.03867133656593587,0,0,0,3,0,2,0,95,0.09767347574234009,0.1050836592912674,0.9952229857444763,0.1564420908689499,0.16831085085868835,
astronaut_e336,natural,336,4,ep_refined_s0.02,contribution,0.02,100,16,0.02,2.5384832170904352,3,260,255,0.019230769230769273,0.03461257391448456,0,0,0,2,0,1,6,91,0.09341692179441452,0.10050417482852936,0.9956294894218445,0.13956253230571747,0.15015070140361786,1.6666666666666763
astronaut_e336,natural,336,4,ep_refined_s0.05,contribution,0.02,100,16,0.02,2.561786006238127,5,260,254,0.023076923076923106,0.030555480443847375,0,0,0,2,1,0,5,92,0.09572433680295944,0.102986641228199,0.9954112768173218,0.1472405046224594,0.1584111899137497,2.0000000000000098
astronaut_e336,natural,336,4,semantic_full,contribution,0.05,100,40,0.05,7.103722830734698,0,260,251,0.0346153846153846,0.04439015781804691,0,1,0,3,1,7,5,83,0.1440269649028778,0.15495383739471436,0.9895856976509094,0.24086324870586395,0.25913679599761963,
astronaut_e336,natural,336,4,semantic_coarse,contribution,0.05,100,40,0.05,7.0956338869257145,0,260,252,0.03076923076923077,0.04156236946512501,0,1,0,5,0,7,0,87,0.14609384536743164,0.15717752277851105,0.9892827868461609,0.2494373917579651,0.2683614194393158,
astronaut_e336,natural,336,4,ep_refined_s0.02,contribution,0.05,100,40,0.05,7.19810599767485,10,260,246,0.05384615384615388,0.023011168785806793,0,1,1,3,2,3,5,85,0.15282869338989258,0.16442331671714783,0.9882700443267822,0.2649328410625458,0.2850324809551239,1.555555555555557
astronaut_e336,natural,336,4,ep_refined_s0.05,contribution,0.05,100,40,0.05,7.362512668791495,13,260,244,0.06153846153846154,0.016666666666666666,0,1,1,3,2,2,7,84,0.15274512767791748,0.16433343291282654,0.9882808923721313,0.26396071910858154,0.28398656845092773,1.7777777777777786
astronaut_e336,natural,336,4,semantic_full,contribution,0.1,100,80,0.1,16.04274914227979,0,260,239,0.08076923076923082,0.03464647271849832,1,1,2,3,3,8,20,62,0.2145993411540985,0.23088030517101288,0.9767335653305054,0.39714959263801575,0.42728009819984436,
astronaut_e336,natural,336,4,semantic_coarse,contribution,0.1,100,79,0.09875,15.884375657497365,0,260,242,0.0692307692307692,0.03937342967311345,1,2,0,8,0,14,0,75,0.21642394363880157,0.23284336924552917,0.9763328433036804,0.41411542892456055,0.4455330967903137,
astronaut_e336,natural,336,4,ep_refined_s0.02,contribution,0.1,100,80,0.1,16.314040165479085,16,260,231,0.11153846153846159,0.0030743773095067285,2,2,0,2,2,10,20,62,0.22484096884727478,0.24189895391464233,0.9744303226470947,0.5190614461898804,0.5584410429000854,1.3809523809523807
astronaut_e336,natural,336,4,ep_refined_s0.05,contribution,0.1,100,80,0.1,16.387338242489612,17,260,230,0.11538461538461542,0.0,2,2,0,2,2,9,22,61,0.22540824115276337,0.24250929057598114,0.9742997288703918,0.5191811919212341,0.5585697889328003,1.4285714285714282
astronaut_e336,natural,336,4,semantic_full,contribution,0.15,100,120,0.15,25.689866115494727,0,260,230,0.11538461538461542,0.03748277841470601,1,3,2,6,8,6,25,49,0.2655845582485199,0.2857336103916168,0.9641538262367249,0.4903733432292938,0.5275764465332031,
astronaut_e336,natural,336,4,semantic_coarse,contribution,0.15,100,120,0.15,25.9803263857679,0,260,232,0.10769230769230764,0.04178358252465963,2,3,0,13,0,18,0,64,0.2759811282157898,0.29691895842552185,0.9612236618995667,0.586374044418335,0.630860447883606,
