experiment,physical_gpus,status,wall_seconds,evidence
noise_control_grouped_mm,"4;5;6;7",complete,54.175,observer/determinism control
noise_control_eager,"4;5;6;7",complete,104.115,observer/determinism control
noise_control_eager2,"4;5;6;7",complete,127.768,observer/determinism replication
semantic_sensitivity_pilot,"4;5;6;7",complete,144.064,task-conditioned K1-K7 pilot
semantic_sensitivity_gqa8,"4;5;6;7",complete,665.321,GQA all-layer K1-K7 oracle
semantic_sensitivity_chartqa8,"4;5;6;7",complete,503.986,ChartQA all-layer K1-K7 oracle
semantic_quality_gqa8,"4;5;6;7",complete,155.557,GQA composed quality
semantic_quality_chartqa8,"4;5;6;7",complete,159.104,ChartQA composed quality
ep_refined_quality_gqa8,"4;5;6;7",complete,285.613,GQA same-budget quality
ep_refined_quality_chartqa8,"4;5;6;7",complete,737.795,ChartQA same-budget quality
heldout_selector_pilot,"4;5;6;7",complete,203.218,unseen selector pilot
heldout32_selector,"4;5;6;7",complete,360.333,32-request selector/trivial control
heldout32_highdrop,"4;5;6;7",complete,334.595,40-50 percent ceiling
heldout32_eprefine,"4;5;6;7",complete,629.860,same-budget refined quality
deepep_global_5_cases,"4;5;6;7",complete,287.0,5 warmups and 30 randomized reps per policy
deepep_trivial_3_cases,"4;5;6;7",complete,157.0,selector/fixed-k paired replay
deepep_exactbudget_3_cases,"4;5;6;7",complete,175.0,M8177 exact assignment-count replay
TOTAL_MEANINGFUL_LIVE,"4;5;6;7",complete,5084.505,1.412 four-GPU wall hours; 5.649 GPU-hours
