rank,case,repeat,policy,prefill_ms,token_ids,relative_logit_l2,logit_max_abs,logit_cosine,logit_kl_vanilla_to_policy,greedy_first_equal,scope,concurrent_other_workload,hidden_diagnostic,fixed_current_routes_diagnostic,oracle_kind,oracle_prediction_calls,dataset_request,hf_reference_greedy_equal,hf_reference_cosine,hf_reference_max_abs,hf_reference_relative_l2,hf_reference_kl_to_policy,oracle_realized_topk_recall_mean,oracle_realized_topk_recall_min,group,M_per_source,profiled_diagnostic
3,0,4,libra_oracle,184.55510213971138,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,4,libra,189.4912738353014,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
3,0,4,vanilla,86.74646494910121,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,4,libra_frozen,186.98898190632463,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,4,libra_frozen_oracle,185.82508387044072,[33],0.014177663251757622,0.25,0.999900221824646,1.3156434164329767e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9969099164009094,1.75,0.07867255806922913,1.4121786080067977e-05,1.0,1.0,chartqa_0,465,
3,0,5,libra_frozen_oracle,185.33207615837455,[33],0.014177663251757622,0.25,0.999900221824646,1.3156434164329767e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9969099164009094,1.75,0.07867255806922913,1.4121786080067977e-05,1.0,1.0,chartqa_0,465,
3,0,5,vanilla,86.64145972579718,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,5,libra_oracle,187.97216517850757,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,5,libra,184.89843141287565,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
3,0,5,libra_frozen,186.13183498382568,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,6,libra_frozen_oracle,186.71548692509532,[33],0.014177663251757622,0.25,0.999900221824646,1.3156434164329767e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9969099164009094,1.75,0.07867255806922913,1.4121786080067977e-05,1.0,1.0,chartqa_0,465,
3,0,6,libra_frozen,203.54373613372445,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,6,vanilla,86.8129231967032,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,6,libra,188.13952198252082,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
3,0,6,libra_oracle,184.61835803464055,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,7,libra_oracle,185.6655697338283,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
