start,end,seconds,physical_gpus,track,question,status,notes
1788944654,1788944707,53,4|5|6|7,A,vanilla request-level engine smoke retry,PASS,TP4 DCP1 no-spec PATH-fixed
1788944740,1788944803,63,4|5|6|7,A,vanilla request baseline,PASS,TP4 DCP1 no-spec r0
1788944824,1788944889,65,4|5|6|7,A,DCP-only request baseline,PASS,TP4 DCP4 no-spec r0
1788945025,1788945093,68,4|5|6|7,A,spec-only request baseline,PASS,TP4 DCP1 ngram3 r0 retry
1788945110,1788945178,68,4|5|6|7,A,combined DCP plus spec,PASS,TP4 DCP4 ngram3 r0
1788945260,1788945269,9,4|5|6|7,B|C,native PCP2 topology smoke,ENVIRONMENT_BLOCKED,vLLM0.20 TP1 PCP2 DP2 rc=1
1788945293,1788945304,11,4|5|6|7,B|C,native PCP4 topology smoke,ENVIRONMENT_BLOCKED,vLLM0.20 TP1 PCP4 DP1 rc=1
1788945343,1788945393,50,4|5|6|7,B|C,native PCP4 topology smoke retry,ENVIRONMENT_BLOCKED,vLLM0.20 TP1 PCP4 DP1 rc=1
1788946318,1788946323,5,4|5|6|7,B|C,native PCP4 vLLM026 smoke,ENVIRONMENT_BLOCKED,vLLM0.26cu129 TP1 PCP4 rc=1
1788946542,1788946548,6,4|5|6|7,B|C,native PCP4 vLLM026 cu129 smoke retry,ENVIRONMENT_BLOCKED,vLLM0.26cu129 TP1 PCP4 rc=1
1788946597,1788946748,151,4|5|6|7,B|C,native PCP4 vLLM026 cu129 smoke retry3,PASS,vLLM0.26cu129 TP1 PCP4 rc=0
1788946933,1788946943,10,4|5|6|7,C,fixed-fleet PCP2 request screen,FAIL,vLLM0.26cu129 TP1 DP2 PCP2 rc=1
1788947061,1788947133,72,4|5|6|7,C,fixed-fleet PCP2 request screen retry,FAIL,vLLM0.26cu129 TP1 replicas2 PCP2 rc=1
1788947160,1788947230,70,4|5|6|7,C,fixed-fleet PCP2 request screen retry2,PASS,vLLM0.26cu129 TP1 replicas2 PCP2 rc=0
1788947230,1788947284,54,4|5|6|7,C,fixed-fleet PCP1 request screen retry2,PASS,vLLM0.26cu129 TP1 replicas4 PCP1 rc=0
1788947284,1788947347,63,4|5|6|7,C,fixed-fleet PCP4 request screen retry2,PASS,vLLM0.26cu129 TP1 replicas1 PCP4 rc=0
1788947444,1788947519,75,4|5|6|7,C,fixed-fleet PCP4 full request screen,PASS,vLLM0.26cu129 TP1 replicas1 PCP4 c1c4c16 rc=0
1788947519,1788947581,62,4|5|6|7,C,fixed-fleet PCP1 full request screen,PASS,vLLM0.26cu129 TP1 replicas4 PCP1 c1c4c16 rc=0
1788947581,1788947665,84,4|5|6|7,C,fixed-fleet PCP2 full request screen,PASS,vLLM0.26cu129 TP1 replicas2 PCP2 c1c4c16 rc=0
1788947984,1788948270,286,4|5|6|7,B,native pcp_dcp 16K transition screen,ENVIRONMENT_BLOCKED,vLLM0.26cu129 reached model warmup then made no progress; owned processes interrupted
1788948341,1788948407,66,4|5|6|7,B,native pcp_only transition screen,PASS,vLLM0.26cu129 16K prefill 32 decode rc=0
1788948407,1788948482,75,4|5|6|7,B,native dcp_only transition screen,PASS,vLLM0.26cu129 16K prefill 32 decode rc=0
1788948514,1788948704,190,4|5|6|7,B,native pcp_dcp bounded 8K smoke,ENVIRONMENT_BLOCKED,vLLM0.26cu129 8K 3 decode timeout180 rc=137
1788948775,1788948816,41,4|5|6|7,A,vLLM026 spec request matrix,FAIL,TP4 DCP1 spec=yes rc=1
1788948852,1788948933,81,4|5|6|7,A,vLLM026 spec request matrix retry,PASS,TP4 DCP1 spec=yes rc=0
1788948933,1788949003,70,4|5|6|7,A,vLLM026 combined request matrix retry,PASS,TP4 DCP4 spec=yes rc=0
1788949003,1788949069,66,4|5|6|7,A,vLLM026 vanilla request matrix retry,PASS,TP4 DCP1 spec=no rc=0
1788949069,1788949147,78,4|5|6|7,A,vLLM026 dcp request matrix retry,PASS,TP4 DCP4 spec=no rc=0
1788949262,1788949320,58,4|5|6|7,C,fixed-fleet PCP1 32K screen,PASS,vLLM0.26cu129 c1c4 rc=0
1788949320,1788949386,66,4|5|6|7,C,fixed-fleet PCP4 32K screen,PASS,vLLM0.26cu129 c1c4 rc=0
1788949386,1788949454,68,4|5|6|7,C,fixed-fleet PCP2 32K screen,PASS,vLLM0.26cu129 c1c4 rc=0
1788949564,1788949628,64,4|5|6|7,C,PCP2 content-matched MoE causality,PASS,vLLM0.26 exact length c2 four content classes rc=0
1788949628,1788949694,66,4|5|6|7,C,PCP4 content-matched MoE causality,PASS,vLLM0.26 exact length c2 four content classes rc=0
1788949694,1788949752,58,4|5|6|7,C,PCP1 content-matched MoE causality,PASS,vLLM0.26 exact length c2 four content classes rc=0
