wave,rep,condition,KEEP,TEMP_BALANCE,temp_wall_reduction
6,1,balanced_2k,3463.0009565,3553.8717644999997,-0.02624048019086933
7,1,hetero_512_1k_2k_4k,3491.464914,3531.1348065,-0.011361962235659995
8,1,vision_proxy_long,3295.9492715,3573.4681805,-0.08419999403501133
9,1,long_balanced,3430.638715,3599.636552,-0.04926133325000959
10,1,short_mixed,3398.140198,3582.1146504999997,-0.054139747561998464
11,1,long_math,3401.0737719999997,3602.2696029999997,-0.059156561864780466
