action,replicas,physical_experts_per_gpu,baseline_rank_ratio,predicted_rank_ratio,predicted_count_proxy_reduction
EPLB_SMALL,136,17,1.928984549285301,1.0000413120713874,0.48123481352214936
EPLB_LARGE,144,18,1.928984549285301,1.0000490580847723,0.48119934212077586
