wave,rep,condition,layer,moe_stage_sum_keep,moe_stage_sum_temp,expert_max_ms_keep,expert_max_ms_temp,A0_KEEP_cost_ms,A1_TEMP_cost_ms,A2_PERSIST_predicted_cost_ms,A1_TEMP_safe_cost_ms,best_action
6,1,balanced_2k,0,2.4353919327259064,1.9271359741687775,0.8137279748916626,0.6656960248947144,2.4353919327259064,1.9271359741687775,11.412029475847625,inf,KEEP
6,1,balanced_2k,1,2.407167971134186,1.8434879928827286,0.8577280044555664,0.6727679967880249,2.407167971134186,1.8434879928827286,11.36263116823375,inf,KEEP
6,1,balanced_2k,2,2.2855679988861084,1.6482239961624146,0.8204799890518188,0.6674240231513977,2.2855679988861084,1.6482239961624146,11.258956237732566,inf,KEEP
6,1,balanced_2k,3,2.388960063457489,1.9418880343437195,0.8378880023956299,0.678816020488739,2.388960063457489,1.9418880343437195,11.353970960248647,inf,KEEP
6,1,balanced_2k,4,2.258015990257263,1.9423679858446121,0.8009600043296814,0.6850240230560303,2.258015990257263,1.9423679858446121,11.240797925311433,inf,KEEP
6,1,balanced_2k,5,2.3864319920539856,1.870175987482071,0.8050879836082458,0.6779839992523193,2.3864319920539856,1.870175987482071,11.367227399769813,inf,KEEP
6,1,balanced_2k,6,2.3919999599456787,1.880351960659027,0.846560001373291,0.6567999720573425,2.3919999599456787,1.880351960659027,11.352837588925958,inf,KEEP
6,1,balanced_2k,7,2.2762879729270935,1.7570239901542664,0.8363839983940125,0.6370880007743835,2.2762879729270935,1.7570239901542664,11.242022648803506,inf,KEEP
6,1,balanced_2k,8,2.1449599862098694,1.7360000014305115,0.772159993648529,0.6477439999580383,2.1449599862098694,1.7360000014305115,11.14160148903362,inf,KEEP
6,1,balanced_2k,9,2.477023959159851,1.957600012421608,0.8856639862060547,0.6604480147361755,2.477023959159851,1.957600012421608,11.419043389291161,inf,KEEP
6,1,balanced_2k,10,2.3552640080451965,1.8340159952640533,0.8577280044555664,0.6480000019073486,2.3552640080451965,1.8340159952640533,11.310727205144762,inf,KEEP
6,1,balanced_2k,11,2.371456027030945,1.825952023267746,0.8467519879341125,0.6640639901161194,2.371456027030945,1.825952023267746,11.332201265394428,inf,KEEP
6,1,balanced_2k,12,2.3507840037345886,2.0746879875659943,0.8295040130615234,0.6976000070571899,2.3507840037345886,2.0746879875659943,11.319829568069517,inf,KEEP
6,1,balanced_2k,13,2.5771520137786865,1.941536009311676,0.8890560269355774,0.7074559926986694,2.5771520137786865,1.941536009311676,11.517539075822066,inf,KEEP
6,1,balanced_2k,14,2.555136024951935,1.7216639816761017,0.8852159976959229,0.6635519862174988,2.555136024951935,1.7216639816761017,11.497371042750379,inf,KEEP
6,1,balanced_2k,15,2.410272002220154,1.977887958288193,0.8256639838218689,0.6348479986190796,2.410272002220154,1.977887958288193,11.381165522310146,inf,KEEP
6,1,balanced_2k,16,2.6264960169792175,2.124831959605217,0.9554880261421204,0.6576319932937622,2.6264960169792175,2.124831959605217,11.534913688272532,inf,KEEP
6,1,balanced_2k,17,2.5790719389915466,1.8818239867687225,0.9041919708251952,0.6690239906311035,2.5790719389915466,1.8818239867687225,11.512175057899725,inf,KEEP
6,1,balanced_2k,18,2.3653120398521423,2.068159982562065,0.8687040209770203,0.7854400277137756,2.3653120398521423,2.068159982562065,11.31549319568779,inf,KEEP
6,1,balanced_2k,19,2.2603520154953003,1.8187840431928635,0.8202239871025085,0.6403840184211731,2.2603520154953003,1.8187840431928635,11.233863451392097,inf,KEEP
6,1,balanced_2k,20,2.4887359738349915,1.8000319749116898,0.8460800051689148,0.6595199704170227,2.4887359738349915,1.8000319749116898,11.449804593699174,inf,KEEP
6,1,balanced_2k,21,2.457087993621826,1.9538239538669586,0.9119679927825928,0.6383039951324463,2.457087993621826,1.9538239538669586,11.38644902005339,inf,KEEP
6,1,balanced_2k,22,2.7008320093154907,1.885664016008377,0.9770560264587402,0.6592640280723572,2.7008320093154907,1.885664016008377,11.59887040799839,inf,KEEP
6,1,balanced_2k,23,2.5283519625663757,1.9594239294528961,0.8347200155258179,0.6513599753379822,2.5283519625663757,1.9594239294528961,11.494887404928068,inf,KEEP
