case_id,task,phase,scope,total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4634741418717567e-08,0.0028177937492728233,0.9999961853027344
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4634741418717567e-08,0.0028177937492728233,0.9999961853027344
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.457401399562741e-08,0.0028159727808088064,0.9999960660934448
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.457401399562741e-08,0.0028159727808088064,0.9999960660934448
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.545664396473967e-08,0.0028463241178542376,0.9999960660934448
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.545664396473967e-08,0.0028463241178542376,0.9999960660934448
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.429029961030892e-08,0.002826861571520567,0.9999960660934448
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.429029961030892e-08,0.002826861571520567,0.9999960660934448
dense_006_real,gsm8k,middle,measured_dense_runtime,1029,49,15,real,21.0,1,167,1.6085810431472274,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.442948072138961e-08,0.002828106749802828,0.9999960660934448
dense_006_real,gsm8k,middle,measured_dense_runtime,1029,49,15,real,21.0,1,167,1.6085810431472274,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.442948072138961e-08,0.002828106749802828,0.9999960660934448
dense_007_real,gsm8k,middle,measured_dense_runtime,1753,46,18,real,38.108695652173914,1,242,1.544090647104201,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4228243472302893e-08,0.002823801012709737,0.9999960064888
dense_007_real,gsm8k,middle,measured_dense_runtime,1753,46,18,real,38.108695652173914,1,242,1.544090647104201,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4228243472302893e-08,0.002823801012709737,0.9999960064888
dense_009_real,humaneval,early,measured_dense_runtime,1237,47,17,real,26.319148936170212,1,404,2.8609917253951522,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4767437939156025e-08,0.002814801875501871,0.9999960064888
dense_009_real,humaneval,early,measured_dense_runtime,1237,47,17,real,26.319148936170212,1,404,2.8609917253951522,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4767437939156025e-08,0.002814801875501871,0.9999960064888
dense_010_real,humaneval,early,measured_dense_runtime,1965,44,20,real,44.65909090909091,1,855,3.276167937789007,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4926543556725846e-08,0.00282547646202147,0.9999960660934448
dense_010_real,humaneval,early,measured_dense_runtime,1965,44,20,real,44.65909090909091,1,855,3.276167937789007,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4926543556725846e-08,0.00282547646202147,0.9999960660934448
dense_012_real,humaneval,late,measured_dense_runtime,52,16,48,real,3.25,1,12,0.982088102677208,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.2414933969751019e-08,0.0027430541813373566,0.9999963045120239
dense_012_real,humaneval,late,measured_dense_runtime,52,16,48,real,3.25,1,12,0.982088102677208,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.2414933969751019e-08,0.0027430541813373566,0.9999963045120239
dense_013_real,humaneval,late,measured_dense_runtime,151,46,18,real,3.282608695652174,1,13,0.9751304258390485,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4490268540612306e-08,0.002830940531566739,0.9999959468841553
dense_013_real,humaneval,late,measured_dense_runtime,151,46,18,real,3.282608695652174,1,13,0.9751304258390485,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4490268540612306e-08,0.002830940531566739,0.9999959468841553
dense_015_real,humaneval,middle,measured_dense_runtime,163,39,25,real,4.17948717948718,1,14,0.8478696295144327,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5063838176843092e-08,0.0027989884838461876,0.9999960660934448
dense_015_real,humaneval,middle,measured_dense_runtime,163,39,25,real,4.17948717948718,1,14,0.8478696295144327,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5063838176843092e-08,0.0027989884838461876,0.9999960660934448
dense_016_real,humaneval,middle,measured_dense_runtime,748,56,8,real,13.357142857142858,1,68,0.9336261318165292,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4482737675791668e-08,0.002824750728905201,0.9999959468841553
dense_016_real,humaneval,middle,measured_dense_runtime,748,56,8,real,13.357142857142858,1,68,0.9336261318165292,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4482737675791668e-08,0.002824750728905201,0.9999959468841553
