case_id,rank,wall_ms,dispatch_ms,expert_ms,combine_ms,layout_ms,iterations
B_after_S_0,0,2.5952959060668945,0.4990079766139388,0.9679681062698364,0.33382391929626465,0.02940800040960312,3
B_after_S_1,0,2.5598080158233643,0.20095999632030725,0.9596481323242188,0.25011205673217773,0.02550400048494339,3
B_after_S_2,0,7.761023998260498,0.2319679968059063,1.7189440727233887,1.1200318336486816,0.029791999608278275,3
B_after_S_3,0,2.1921920776367188,0.20073599833995104,1.0586239695549011,0.09539186954498291,0.026016000658273697,3
B_after_S_4,0,0.8893759846687317,0.18758400715887547,0.45667198300361633,0.10479998588562012,0.025536000728607178,3
B_after_S_0,1,2.4923839569091797,0.4334079986438155,0.8663999438285828,0.4495360851287842,0.028543999418616295,3
B_after_S_1,1,2.7544960975646973,0.21456000581383705,0.9724479913711548,0.0952000617980957,0.024768000468611717,3
B_after_S_2,1,7.7674560546875,0.22080000676214695,3.1775355339050293,0.17910385131835938,0.027103999629616737,3
B_after_S_3,1,2.094048023223877,0.18544000387191772,0.928351879119873,0.16185593605041504,0.02675200067460537,3
B_after_S_4,1,0.8746560215950012,0.19008000567555428,0.4683839678764343,0.09987199306488037,0.026688000187277794,3
B_after_S_0,2,2.345792055130005,0.2416000049561262,1.114016056060791,0.11184000968933105,0.04364800080657005,3
B_after_S_1,2,2.6944000720977783,0.18080000020563602,0.8896000385284424,0.16540789604187012,0.02937600016593933,3
B_after_S_2,2,7.706975936889648,0.1974079953506589,2.2325119972229004,0.690943717956543,0.027936000376939774,3
B_after_S_3,2,2.1831679344177246,0.21113599929958582,0.9906879663467407,0.1859520673751831,0.024992000311613083,3
B_after_S_4,2,0.893887996673584,0.19427200499922037,0.4482239782810211,0.10140800476074219,0.024671999737620354,3
B_after_S_0,3,2.493151903152466,0.426527988165617,0.9485120177268982,0.40796804428100586,0.029343999922275543,3
B_after_S_1,3,2.7653119564056396,0.19747200515121222,0.9292800426483154,0.2800319194793701,0.02672000043094158,3
B_after_S_2,3,7.7784318923950195,0.19260799419134855,2.8765764236450195,0.670560359954834,0.029343999922275543,3
B_after_S_3,3,2.1546239852905273,0.18918399792164564,0.906976044178009,0.19334399700164795,0.024639999493956566,3
B_after_S_4,3,0.8782399892807007,0.17644800525158644,0.46342402696609497,0.09849601984024048,0.025728000327944756,3
