physical_gpu,logical_gpu,uuid,name,memory_mib,interconnect
4,0,GPU-6076e2f2-5b63-3761-5586-56ceb7df8139,NVIDIA H100 80GB HBM3,81559,NV18
5,1,GPU-a1a1cfcf-93a1-3544-9a5e-e58144b68730,NVIDIA H100 80GB HBM3,81559,NV18
6,2,GPU-e3f3998e-0f1a-e94a-b97c-4abb0e8c2c28,NVIDIA H100 80GB HBM3,81559,NV18
7,3,GPU-4cc26b88-19fc-1988-f9e0-17858aa7a99b,NVIDIA H100 80GB HBM3,81559,NV18
