run,physical_gpus,purpose,wall_seconds,four_gpu_hours,primary_evidence
full_text,"4,5,6,7",matched text stage/policy/request measurement,107.85,0.119833,yes
full_vision,"4,5,6,7",matched vision stage/policy/request measurement,113.91,0.126567,yes
TOTAL,"4,5,6,7",fresh primary measurement,221.76,0.246400,yes
