duration_ms,layer,modality,p10_ms,p90_ms,repetitions,stage,tokens
0.8318720161914825,0,text,0.7722559869289398,1.0485439598560333,6,attention,2363
0.3896000161767006,0,text,0.18625600636005402,0.8653440177440643,6,combine,1182
0.5346879959106445,0,text,0.3447519987821579,0.9447679817676544,6,dispatch,1182
0.8797439932823181,0,text,0.02457600086927414,0.9490560293197632,21,expert,4286
3.1082719564437866,0,text,3.016800045967102,3.8791998624801636,6,layer_total,2363
2.081439971923828,0,text,2.0015679597854614,2.8302719593048096,6,moe,2363
0.9069919884204865,1,text,0.76009601354599,1.6527040600776672,6,attention,2363
0.4904800057411194,1,text,0.21447999775409698,1.2410880327224731,6,combine,1182
0.7486880123615265,1,text,0.41038399934768677,1.3270879983901978,6,dispatch,1182
0.847711980342865,1,text,0.035679999738931656,0.9336320161819458,21,expert,4412
3.086064100265503,1,text,2.916175961494446,4.683823943138123,6,layer_total,2363
2.210592031478882,1,text,1.9897760152816772,3.0213119983673096,6,moe,2363
0.9342239797115326,2,text,0.8018400073051453,1.3089919686317444,6,attention,2363
0.3819200098514557,2,text,0.23865599930286407,0.5964160114526749,6,combine,1182
0.8394239842891693,2,text,0.3839839994907379,1.3986879587173462,6,dispatch,1182
0.8501600027084351,2,text,0.5550432235002518,0.926614409685135,18,expert,4278
3.1582239866256714,2,text,2.9304959774017334,3.932736039161682,6,layer_total,2363
2.2691680192947388,2,text,1.9554880261421204,2.6978559494018555,6,moe,2363
0.9602400064468384,3,text,0.7563999891281128,1.190288007259369,6,attention,2363
0.45985598862171173,3,text,0.18174400180578232,0.7943840026855469,6,combine,1182
0.7143040001392365,3,text,0.42235200107097626,1.1505599617958069,6,dispatch,1182
0.8438400030136108,3,text,0.036288000643253326,0.8961279988288879,21,expert,4416
2.9980640411376953,3,text,2.8937759399414062,3.5723519325256348,6,layer_total,2363
2.0605759620666504,3,text,1.9732159972190857,2.514448046684265,6,moe,2363
0.8363359868526459,4,text,0.7455039918422699,1.069920003414154,6,attention,2363
0.454367995262146,4,text,0.23944000154733658,0.8368000090122223,6,combine,1182
0.7298719733953476,4,text,0.37880000472068787,1.1856639981269836,6,dispatch,1182
0.809440016746521,4,text,0.04230400174856186,0.921887993812561,21,expert,3924
2.9302079677581787,4,text,2.8611040115356445,3.2704479694366455,6,layer_total,2363
2.0738720297813416,4,text,1.927135944366455,2.308735966682434,6,moe,2363
0.862064003944397,5,text,0.7447199821472168,1.726815938949585,6,attention,2363
0.3155840039253235,5,text,0.20761599391698837,1.0123999863862991,6,combine,1182
0.7392800152301788,5,text,0.41816000640392303,1.3979999423027039,6,dispatch,1182
0.8655039966106415,5,text,0.5866784036159516,1.114598405361176,18,expert,4576
3.0707679986953735,5,text,2.9020639657974243,4.789440035820007,6,layer_total,2363
2.0918080806732178,5,text,1.9925759434700012,3.132319927215576,6,moe,2363
1.0239199995994568,6,text,0.796319991350174,1.5852160453796387,6,attention,2363
0.3948640003800392,6,text,0.20368000119924545,0.9574560225009918,6,combine,1182
0.857151985168457,6,text,0.3978880047798157,1.3397279977798462,6,dispatch,1182
0.846176028251648,6,text,0.038015998899936676,0.9292799830436707,21,expert,4298
3.142143964767456,6,text,2.9166719913482666,4.499935984611511,6,layer_total,2363
2.258047938346863,6,text,1.9856640100479126,3.006608009338379,6,moe,2363
0.9191040098667145,7,text,0.7680160105228424,1.2879039645195007,6,attention,2363
0.29894400388002396,7,text,0.2075200006365776,0.6139359921216965,6,combine,1182
0.7741120010614395,7,text,0.4062720090150833,1.2569760084152222,6,dispatch,1182
0.8751519918441772,7,text,0.5422496050596237,0.9249408006668091,18,expert,4614
3.0904000997543335,7,text,2.9388160705566406,3.837984085083008,6,layer_total,2363
2.2486079931259155,7,text,1.9963680505752563,2.706112027168274,6,moe,2363
0.9583040177822113,8,text,0.7926400005817413,1.1624320149421692,6,attention,2363
0.4294079840183258,8,text,0.25168000161647797,0.8644959926605225,6,combine,1182
0.8196640312671661,8,text,0.4135200083255768,1.2443519830703735,6,dispatch,1182
0.8230400085449219,8,text,0.037248000502586365,0.9430720210075378,21,expert,4260
3.0727200508117676,8,text,2.925615906715393,3.535615921020508,6,layer_total,2363
2.2297279834747314,8,text,1.9904959797859192,2.5443040132522583,6,moe,2363
0.8260160088539124,9,text,0.75518399477005,0.9879199862480164,6,attention,2363
0.3887839987874031,9,text,0.22046400606632233,1.19159996509552,6,combine,1182
0.6483840048313141,9,text,0.384320005774498,1.6260960102081299,6,dispatch,1182
0.8303999900817871,9,text,0.02051199972629547,0.9248319864273071,21,expert,4110
2.9617120027542114,9,text,2.9030240774154663,4.518223881721497,6,layer_total,2363
2.0653120279312134,9,text,1.9568960070610046,3.625071883201599,6,moe,2363
0.7755039930343628,10,text,0.7628639936447144,1.5197280049324036,6,attention,2363
0.39904001355171204,10,text,0.1892160028219223,0.8305279910564423,6,combine,1182
0.5820639878511429,10,text,0.4055200070142746,1.3392639756202698,6,dispatch,1182
