clean_n,clean_ttft_ms,drivers_ok,instrumented_n,instrumented_ttft_ms,modality,observer_tax_pct
3,129.0136226452887,True,3,151.45217580720782,text,17.39239058778459
3,264.9787119589746,True,3,315.07465709000826,vision,18.905648971072743
