evidence,gain_pct,makespan_ms,policy
measured component costs,0.0,283.4669429510832,FCFS/static serial
zero-contention analytical,29.01392275250182,201.22206309437752,perfect phase-aware oracle
measured eta analytical,0.17561088659590052,282.9691441393605,contention-corrected layer oracle
measured eta analytical,0.0,283.4669429510832,simple eta>=0.2 heuristic
