aggregation,combine_ms,dispatch_ms,expert_ms,kind,modality,per_unit_ms,repetitions,sms,tokens_per_rank,total_ms
1,0.554095983505249,0.7539520263671875,0.5668639838695526,text,text,1.795807957649231,10,4,1182,1.795807957649231
1,0.3457759916782379,0.47651199996471405,0.6444959938526154,text,text,1.4022079706192017,10,8,1182,1.4022079706192017
1,0.28729599714279175,0.3728320002555847,0.746751993894577,text,text,1.3196319937705994,10,12,1182,1.3196319937705994
1,0.254720002412796,0.3312000036239624,0.7828800082206726,text,text,1.2885439991950989,10,16,1182,1.2885439991950989
1,0.2248159945011139,0.2943519949913025,0.8047520220279694,text,text,1.2652159929275513,10,20,1182,1.2652159929275513
2,1.1144319772720337,1.3276159763336182,0.9846560060977936,text,text,1.6054959893226624,10,4,2364,3.2109919786453247
2,0.7103520035743713,0.773279994726181,0.9786399900913239,text,text,1.1269279718399048,10,8,2364,2.2538559436798096
2,0.5741440057754517,0.5717760026454926,0.9791519939899445,text,text,0.9562000036239624,10,12,2364,1.9124000072479248
2,0.48340798914432526,0.4890560060739517,1.0303840041160583,text,text,0.8986720144748688,10,16,2364,1.7973440289497375
2,0.4418080002069473,0.43028800189495087,1.0729600191116333,text,text,0.8710480034351349,10,20,2364,1.7420960068702698
4,2.18121600151062,2.474496006965637,1.8343200087547302,text,text,1.514963984489441,10,4,4728,6.059855937957764
4,1.3750240206718445,1.3568480014801025,1.8341280221939087,text,text,1.030463993549347,10,8,4728,4.121855974197388
4,1.1107680201530457,0.976175993680954,1.8354239463806152,text,text,0.8686320185661316,10,12,4728,3.4745280742645264
4,0.9683679938316345,0.7962720096111298,1.8357759714126587,text,text,0.7861279845237732,10,16,4728,3.1445119380950928
4,0.8802879750728607,0.6700800061225891,1.8328160047531128,text,text,0.7320440113544464,10,20,4728,2.9281760454177856
1,0.10622400045394897,0.15636800229549408,0.4290880113840103,decode,text,0.8697119951248169,10,4,1,0.8697119951248169
1,0.11987200006842613,0.15326400101184845,0.44276800751686096,decode,text,0.8886560201644897,10,8,1,0.8886560201644897
1,0.11187199875712395,0.16764800250530243,0.4373600035905838,decode,text,0.8941279947757721,10,12,1,0.8941279947757721
1,0.11364800110459328,0.17974399775266647,0.44782400131225586,decode,text,0.9322719871997833,10,16,1,0.9322719871997833
1,0.1045440025627613,0.16523200273513794,0.45686399936676025,decode,text,0.8956800103187561,10,20,1,0.8956800103187561
4,0.118112001568079,0.1698719933629036,0.42902401089668274,decode,text,0.2230359986424446,10,4,4,0.8921439945697784
