aggregation,combine_ms,dispatch_ms,expert_ms,kind,modality,per_unit_ms,repetitions,sms,tokens_per_rank,total_ms
4,0.11622399836778641,0.165583997964859,0.4606880098581314,decode,text,0.22627999633550644,10,8,4,0.9051199853420258
4,0.12142400071024895,0.16751999408006668,0.44656001031398773,decode,text,0.22278399765491486,10,12,4,0.8911359906196594
4,0.10820799693465233,0.16755200177431107,0.44435200095176697,decode,text,0.2240080013871193,10,16,4,0.8960320055484772
4,0.11025600135326385,0.1685599982738495,0.43030400574207306,decode,text,0.22300799936056137,10,20,4,0.8920319974422455
16,0.11209600046277046,0.16497600078582764,0.45318400859832764,decode,text,0.05602299980819225,10,4,16,0.896367996931076
16,0.11587200313806534,0.16564799845218658,0.4460960030555725,decode,text,0.05640999972820282,10,8,16,0.9025599956512451
16,0.12043200060725212,0.16841600090265274,0.4357600063085556,decode,text,0.056421998888254166,10,12,16,0.9027519822120667
16,0.1035199984908104,0.17148800194263458,0.43134400248527527,decode,text,0.05658400058746338,10,16,16,0.9053440093994141
16,0.12391999736428261,0.1603359952569008,0.4452640116214752,decode,text,0.05565099976956844,10,20,16,0.8904159963130951
64,0.11679999902844429,0.20083200186491013,0.43939200043678284,decode,text,0.01454925024881959,10,4,64,0.9311520159244537
64,0.11591999977827072,0.1892319992184639,0.4322720021009445,decode,text,0.014115500263869762,10,8,64,0.9033920168876648
64,0.1141120009124279,0.18054400384426117,0.44336000084877014,decode,text,0.013960749842226505,10,12,64,0.8934879899024963
64,0.10652799904346466,0.16071999818086624,0.4461599886417389,decode,text,0.013996249996125698,10,16,64,0.8957599997520447
64,0.1188960000872612,0.16302400082349777,0.44814400374889374,decode,text,0.013987250160425901,10,20,64,0.8951840102672577
1,0.4604480117559433,0.7145119905471802,0.5132000148296356,vision,vision,1.671392023563385,10,4,1182,1.671392023563385
1,0.28753599524497986,0.45129598677158356,0.6067039966583252,vision,vision,1.3129760026931763,10,8,1182,1.3129760026931763
1,0.22912000119686127,0.359920009970665,0.6967519819736481,vision,vision,1.2474879622459412,10,12,1182,1.2474879622459412
1,0.1926560029387474,0.3201119899749756,0.7370240092277527,vision,vision,1.2278719544410706,10,16,1182,1.2278719544410706
1,0.20030400156974792,0.30103999376296997,0.761216014623642,vision,vision,1.2892000079154968,10,20,1182,1.2892000079154968
2,0.9742559790611267,1.2526560425758362,0.9201119840145111,vision,vision,1.5071439743041992,10,4,2364,3.0142879486083984
2,0.6036159992218018,0.7405759990215302,0.9176479876041412,vision,vision,1.0635200142860413,10,8,2364,2.1270400285720825
2,0.4735200107097626,0.5495679974555969,0.9182399809360504,vision,vision,0.9032160043716431,10,12,2364,1.8064320087432861
2,0.39451199769973755,0.4676799923181534,0.9749919772148132,vision,vision,0.8587439954280853,10,16,2364,1.7174879908561707
2,0.36537599563598633,0.40798400342464447,1.0336160063743591,vision,vision,0.8411760032176971,10,20,2364,1.6823520064353943
4,1.9325439929962158,2.388800024986267,1.7294079661369324,vision,vision,1.4378520250320435,10,4,4728,5.751408100128174
4,1.1792960166931152,1.3018880486488342,1.7295680046081543,vision,vision,0.9739560186862946,10,8,4728,3.8958240747451782
4,0.9302079975605011,0.9485439956188202,1.72788804769516,vision,vision,0.8255279958248138,10,12,4728,3.3021119832992554
4,0.7995840013027191,0.7680480182170868,1.7255840301513672,vision,vision,0.7449119985103607,10,16,4728,2.979647994041443
4,0.7101599872112274,0.6437599956989288,1.7239360213279724,vision,vision,0.6918359994888306,10,20,4728,2.7673439979553223
1,0.09145599976181984,0.15700799971818924,0.4378880113363266,decode,vision,0.8800959885120392,10,4,1,0.8800959885120392
1,0.10492799803614616,0.15435199439525604,0.4310079962015152,decode,vision,0.8704800009727478,10,8,1,0.8704800009727478
1,0.1101280003786087,0.1611199975013733,0.4344319999217987,decode,vision,0.8777119815349579,10,12,1,0.8777119815349579
1,0.1024320013821125,0.15680000185966492,0.43486399948596954,decode,vision,0.8821119964122772,10,16,1,0.8821119964122772
1,0.10080000013113022,0.15807999670505524,0.4355680048465729,decode,vision,0.8685919940471649,10,20,1,0.8685919940471649
4,0.11180799826979637,0.1611040011048317,0.42819200456142426,decode,vision,0.21886800229549408,10,4,4,0.8754720091819763
4,0.09623999893665314,0.15457600355148315,0.438960000872612,decode,vision,0.21567200124263763,10,8,4,0.8626880049705505
4,0.10713599994778633,0.1751680001616478,0.43828800320625305,decode,vision,0.222120001912117,10,12,4,0.888480007648468
4,0.10399999842047691,0.15331199765205383,0.4354719966650009,decode,vision,0.2167079970240593,10,16,4,0.8668319880962372
4,0.09702400118112564,0.16008000075817108,0.43489599227905273,decode,vision,0.2170960009098053,10,20,4,0.8683840036392212
16,0.09825599938631058,0.15904000401496887,0.4174719899892807,decode,vision,0.053572000935673714,10,4,16,0.8571520149707794
16,0.1037760004401207,0.15078400075435638,0.43113599717617035,decode,vision,0.054346999153494835,10,8,16,0.8695519864559174
16,0.10473600029945374,0.1621759980916977,0.4350080043077469,decode,vision,0.05453399941325188,10,12,16,0.87254399061203
16,0.10025600343942642,0.16488000005483627,0.4323519915342331,decode,vision,0.05478299967944622,10,16,16,0.8765279948711395
16,0.09996800124645233,0.15998400002717972,0.4265120029449463,decode,vision,0.05399699881672859,10,20,16,0.8639519810676575
64,0.1388319954276085,0.1857919991016388,0.4389919936656952,decode,vision,0.014112500008195639,10,4,64,0.9032000005245209
64,0.11550400033593178,0.17473600059747696,0.4297439903020859,decode,vision,0.01398875005543232,10,8,64,0.8952800035476685
64,0.09944000095129013,0.1637279987335205,0.4270720034837723,decode,vision,0.01359499990940094,10,12,64,0.8700799942016602
64,0.09563199803233147,0.16156800091266632,0.4280160069465637,decode,vision,0.013658749870955944,10,16,64,0.8741599917411804
64,0.10121599957346916,0.16275200247764587,0.42449599504470825,decode,vision,0.013578749727457762,10,20,64,0.8690399825572968
