task,trajectory_complete,request_id,call_index,sequence_id,block_start,iteration,phase,masked_before,transfer_count,selected_cutoff,best_unselected,cutoff_gap,delta,alternatives,swappable_selected,future_step_available,future_positions_traced,base_rank_load,best_rank_load,base_max_rank,best_max_rank,max_rank_reduction_pct,best_swap,one_swap_only,frozen_baseline_route_not_rollout
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.001,0,1,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.002,0,1,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.005,0,1,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.01,0,2,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.02,0,2,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.05,0,2,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,5,64,0,middle,15,2,0.9599948525428772,0.8366569876670837,0.1233378648757934,0.1,0,2,1,15,"[119, 121, 170, 110]","[119, 121, 170, 110]",170,170,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.001,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.002,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.005,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.01,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.02,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.05,0,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,127,6,64,0,late,8,1,0.9223076105117798,0.8646259903907776,0.0576816201210022,0.1,2,1,1,8,"[80, 58, 84, 58]","[80, 58, 84, 58]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.001,0,1,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.002,0,1,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.005,0,1,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.01,0,1,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.02,0,1,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.05,1,2,1,19,"[124, 164, 180, 172]","[124, 164, 180, 172]",180,180,0.0,,1,1
gsm8k,1,measured_0,128,0,32,1,middle,19,3,0.9167857766151428,0.8791231513023376,0.0376626253128051,0.1,3,3,1,19,"[124, 164, 180, 172]","[134, 163, 177, 166]",180,177,1.6666666666666667,"[12, 18]",1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.001,0,1,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.002,0,1,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.005,0,1,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.01,0,1,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.02,0,2,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.05,0,4,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,1,32,1,late,10,4,0.9658695459365844,0.7813609838485718,0.1845085620880127,0.1,0,4,1,10,"[44, 57, 84, 55]","[44, 57, 84, 55]",84,84,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.001,0,1,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.002,0,1,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.005,0,1,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.01,0,1,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.02,0,2,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.05,0,4,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,3,64,1,middle,21,4,0.9633299708366394,0.7134720087051392,0.2498579621315002,0.1,0,4,1,21,"[128, 171, 215, 166]","[128, 171, 215, 166]",215,215,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.001,0,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.002,0,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.005,0,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.01,0,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.02,0,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.05,3,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,4,64,1,middle,18,1,0.9063071012496948,0.8786576390266418,0.0276494622230529,0.1,3,1,1,18,"[152, 152, 245, 131]","[152, 152, 245, 131]",245,245,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.001,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.002,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.005,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.01,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.02,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.05,0,1,1,13,"[91, 90, 178, 81]","[91, 90, 178, 81]",178,178,0.0,,1,1
gsm8k,1,measured_0,128,5,64,1,middle,13,2,0.9029448628425598,0.8496037721633911,0.0533410906791687,0.1,1,2,1,13,"[91, 90, 178, 81]","[94, 92, 174, 80]",178,174,2.247191011235955,"[17, 20]",1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.001,0,1,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.002,0,1,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.005,0,2,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.01,0,2,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.02,0,2,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.05,0,2,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,128,6,64,1,late,7,2,0.997194766998291,0.7927904725074768,0.2044042944908142,0.1,0,2,1,7,"[54, 39, 63, 44]","[54, 39, 63, 44]",63,63,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.001,0,1,1,16,"[119, 137, 161, 143]","[119, 137, 161, 143]",161,161,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.002,0,1,1,16,"[119, 137, 161, 143]","[119, 137, 161, 143]",161,161,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.005,0,1,1,16,"[119, 137, 161, 143]","[119, 137, 161, 143]",161,161,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.01,0,2,1,16,"[119, 137, 161, 143]","[119, 137, 161, 143]",161,161,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.02,0,2,1,16,"[119, 137, 161, 143]","[119, 137, 161, 143]",161,161,0.0,,1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.05,4,2,1,16,"[119, 137, 161, 143]","[122, 143, 150, 145]",161,150,6.832298136645963,"[15, 21]",1,1
gsm8k,1,measured_0,129,0,32,2,middle,16,2,0.923970103263855,0.8932903409004211,0.0306797623634338,0.1,5,2,1,16,"[119, 137, 161, 143]","[122, 143, 150, 145]",161,150,6.832298136645963,"[15, 21]",1,1
