task,policy,measured,submitted,mini,gen_length,block_length,nfe,clean_bct_seconds,score_correct,score_total,post_compaction_E2E_oracle,status
GSM8K,O0_stock_confidence,1,8,8,128,32,106,7.4620,5,8,,baseline_only
HumanEval,O0_stock_confidence,1,8,8,128,32,55,5.7934,2,8,,baseline_only
both,O1_O2_O3_future_aware,0,,,,,,,,,NOT_RUN_EARLY_GATE
