accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction
,,,,5,0,32,,9.144147872924805,32,32,,none,66,0,"early,middle,late",baseline,,,,,,gsm8k,
0.015625,960,0.328125,8,5,0,32,0.8100260416666667,7.3138747215271,14,32,16,layer_bypass,63,0,late,layer_bypass_l16_late,0.328125,8,0.0072476803961762926,0.028809176379581913,16,gsm8k,0.09895833333333333
0.015625,960,0.328125,8,5,0,32,0.6111328125,7.612264156341553,18,32,16,routed_bypass,66,0,late,routed_bypass_l16_late,0.328125,8,0.004227251012594024,0.016928839269212403,16,gsm8k,0.071875
0.00625,960,0.328125,8,4,-1,32,0.46334635416666664,7.23702335357666,21,32,16,routed_only,63,1,late,routed_only_l16_late,0.328125,8,0.005770663188286562,0.02170005810148723,16,gsm8k,0.04895833333333333
0.007291666666666667,960,0.328125,8,5,0,32,0.36328125,14.383783340454102,21,32,16,stale_routed,62,0,late,stale_routed_l16_late,0.328125,8,0.001042024754127624,0.0043717598797243795,16,gsm8k,0.052083333333333336
