M_median,cuda_mean_ms,cuda_p50_ms,cuda_p90_ms,n,phase,sms
1.0,1.0413474741867046,0.8634240031242371,1.4230079650878906,216691,decode,8
284.0,1.220930143006974,0.9253759980201721,1.616499197483063,14400,prefill,8
1.0,1.1181853099483363,0.8989760279655457,1.9872640371322632,239731,decode,12
284.0,1.3009975646813232,0.9721919894218445,2.5814560651779175,15936,prefill,12
1.0,1.1159057792630438,0.8675519824028015,1.573267197608949,477315,decode,20
284.0,1.420940510367197,0.9299520254135132,1.9458111763000498,31677,prefill,20
