workload_id,layer,tokens,split,split_fraction,is_modality_boundary,attention_all_ms,moe_all_ms,attention_head_ms,attention_tail_ms,moe_head_ms,moe_tail_ms,base_ms,ideal_wave_ms,ideal_improvement_pct
W1_text,0,2363,118,0.04993652137113838,False,0.7599039971828461,1.4176479578018188,0.03794696219533467,0.7219570349875114,0.0707924075415212,1.3468555502602977,2.177551954984665,2.1067595474431435,3.2510088854352914
W1_text,0,2363,236,0.09987304274227676,False,0.7599039971828461,1.4176479578018188,0.07589392439066935,0.6840100727921767,0.1415848150830424,1.2760631427187765,2.177551954984665,2.0359671399016226,6.502017770870561
W1_text,0,2363,354,0.14980956411341514,False,0.7599039971828461,1.4176479578018188,0.11384088658600403,0.6460631105968421,0.21237722262456363,1.2052707351772551,2.177551954984665,1.9651747323601012,9.753026656305863
W1_text,0,2363,473,0.20016927634363096,False,0.7599039971828461,1.4176479578018188,0.15210943320672288,0.6077945639761232,0.2837695658232164,1.1338783919786026,2.177551954984665,1.8937823891614487,13.031586464499057
W1_text,0,2363,591,0.2501057977147694,False,0.7599039971828461,1.4176479578018188,0.19005639540205757,0.5698476017807885,0.3545619733647376,1.0630859844370812,2.177551954984665,1.8229899816199273,16.282595349934347
W1_text,0,2363,780,0.33008887008040627,False,0.7599039971828461,1.4176479578018188,0.2508358517996699,0.5090681453831761,0.4679498125625979,0.9496981452392209,2.177551954984665,1.7096021424220669,21.489719751182403
W1_text,0,2363,1182,0.5002115954295387,False,0.7599039971828461,1.4176479578018188,0.38011279080411514,0.37979120637873093,0.7091239467294752,0.7085240110723436,2.177551954984665,1.797760748605934,17.441200679935353
W1_text,0,2363,1583,0.6699111299195938,False,0.7599039971828461,1.4176479578018188,0.5090681453831762,0.25083585179966983,0.949698145239221,0.46794981256259777,2.177551954984665,1.926716103184995,11.519167256858232
W1_text,0,2363,1772,0.7498942022852306,False,0.7599039971828461,1.4176479578018188,0.5698476017807885,0.19005639540205757,1.0630859844370812,0.3545619733647376,2.177551954984665,1.9874955595826074,8.72798442154259
W1_text,0,2363,1890,0.799830723656369,False,0.7599039971828461,1.4176479578018188,0.6077945639761232,0.15210943320672293,1.1338783919786024,0.28376956582321644,2.177551954984665,2.0254425217779417,6.9853411698640455
W1_text,0,2363,2127,0.9001269572577232,False,0.7599039971828461,1.4176479578018188,0.6840100727921766,0.07589392439066939,1.2760631427187763,0.1415848150830425,2.177551954984665,2.1016580305939954,3.485286503357121
W1_text,1,2363,118,0.04993652137113838,False,0.698415994644165,1.3572480082511902,0.034876465242493215,0.6635395294016718,0.06777624416997056,1.2894717640812197,2.0556640028953552,1.9878877587253847,3.2970487431073003
W1_text,1,2363,236,0.09987304274227676,False,0.698415994644165,1.3572480082511902,0.06975293048498643,0.6286630641591786,0.13555248833994113,1.2216955199112491,2.0556640028953552,1.9201115145554142,6.594097486214601
